Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,,,
CHEMBL369909,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2cccc3ccccc23)c1,IC50=670nM,6.70E+02,-6.2,2.82E+04,
CHEMBL211507,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50=19998618.7nM,2.00E+07,-6.2,2.82E+04,
CHEMBL212582,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cccnc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50=53nM,5.30E+01,-6.2,2.82E+04,
CHEMBL377598,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)cc1)n2C1CCCCC1,IC50=300nM,3.00E+02,-6.2,2.82E+04,
CHEMBL366575,O=C(N[C@@H](Cc1c[nH]c2ccc(C3N=NN=N3)cc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,IC50=15nM,1.50E+01,-6.2,2.82E+04,
CHEMBL381828,O=C(O)c1ccc2c(c1)nc(-c1ccc(OC(c3ccc(F)cc3)c3ccc(F)cc3)cc1F)n2C1CCCCC1,IC50=840nM,8.40E+02,-6.2,2.82E+04,
CHEMBL206624,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCC(c3ccccc3)c3ccccc3)cc1)n2C1CCCCC1,IC50=980nM,9.80E+02,-6.2,2.82E+04,
CHEMBL377907,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)c(F)c1)n2C1CCCCC1,IC50=2630267.99nM,2.63E+06,-6.2,2.82E+04,
CHEMBL195576,NS(=O)(=O)c1cccc(-c2ccc(/C=C(\NC(=O)c3ccccc3)C(=O)O)o2)c1,IC50>100000nM,1.00E+05,-6.2,2.82E+04,
CHEMBL202587,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccc(C(=O)O)cc21,IC50>10000nM,1.00E+04,-6.2,2.82E+04,
CHEMBL4450833,COc1ccc(N2CN=c3s/c(=C/c4ccc(F)cc4)c(=O)n3C2)cc1,IC50=69.98nM,7.00E+01,-6.2,2.82E+04,
CHEMBL381497,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1Cc1ccc([N+](=O)[O-])cc1,IC50=2442nM,2.44E+03,-6.2,2.82E+04,
CHEMBL4632867,C[C@@]1(O)[C@H](F)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,IC50=630nM,6.30E+02,-6.2,2.82E+04,
CHEMBL387301,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)cc1F)n2C1CCCCC1,IC50=100nM,1.00E+02,-6.1,3.34E+04,
CHEMBL211849,CC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50=18nM,1.80E+01,-6.1,3.34E+04,
CHEMBL213509,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(N)ccc3N2)c(O)c2cccnc21,IC50=310nM,3.10E+02,-6.1,3.34E+04,
CHEMBL379796,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)cc1Cl)n2C1CCCCC1,IC50=2857590.54nM,2.86E+06,-6.1,3.34E+04,
CHEMBL379435,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCOCC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50=71449632.61nM,7.14E+07,-6.1,3.34E+04,
