Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,,,
CHEMBL176034,O=C(O)c1ccc2c(c1)nc(-c1ccc(Br)o1)n2C1CCCCC1,IC50>30000nM,3.00E+04,-4.7,3.56E+05,
CHEMBL368163,Cc1[nH]c2ccc(O)cc2c1C[C@H](NC(=O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1)C(=O)O,IC50=460nM,4.60E+02,-4.7,3.56E+05,
CHEMBL209396,Cc1nc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)s1,IC50=90nM,9.00E+01,-4.7,3.56E+05,
CHEMBL427512,O=C(O)c1sc(-c2ccc(F)cc2)cc1NS(=O)(=O)c1ccccn1,IC50=4000nM,4.00E+03,-4.7,3.56E+05,
CHEMBL181653,O=C(O)c1nc(-c2cccs2)nc(O)c1O,IC50=2600nM,2.60E+03,-4.7,3.56E+05,
CHEMBL183190,O=C(O)c1cnc(N(C(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)C2CCCCC2)s1,IC50=4400nM,4.40E+03,-4.7,3.56E+05,
CHEMBL206052,O=C(O)c1nc(-c2ccc([N+](=O)[O-])s2)nc(O)c1O,IC50=16000nM,1.60E+04,-4.7,3.56E+05,
CHEMBL174683,O=C(O)c1ccc2c(c1)nc(-c1ccccn1)n2C1CCCCC1,IC50=2700nM,2.70E+03,-4.7,3.56E+05,
CHEMBL4289195,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(CCC(F)(F)F)c(-c3cccc(C(=O)NC(C)(C)C)c3)cc12,IC50=10nM,1.00E+01,-4.7,3.56E+05,
CHEMBL4279139,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(CCC(F)(F)F)c(-c3cccc(C(=O)NC45CC(C4)C5)c3)cc12,IC50=9.6nM,9.60E+00,-4.7,3.56E+05,
CHEMBL366197,O=C(O)/C(=C/c1ccc(Oc2c(F)cccc2Br)cc1)NC(=O)c1ccccc1,IC50=30nM,3.00E+01,-4.7,3.56E+05,
CHEMBL210491,C=CCOC(=O)NS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c3cccnc3n(CCC(C)C)c1=O)N2,IC50=88nM,8.80E+01,-4.7,3.56E+05,
CHEMBL384453,O=C(O)c1ccc2c(C3CCCC3)c(-c3ccoc3)sc2c1,IC50=78nM,7.80E+01,-4.7,3.56E+05,
CHEMBL202005,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(NC(=O)c3ccccc3)ccc21,IC50=4235nM,4.24E+03,-4.7,3.56E+05,
CHEMBL377842,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NC(=O)C(F)(F)F)ccc3N2)c(O)c2cccnc21,IC50=906nM,9.06E+02,-4.7,3.56E+05,
CHEMBL378524,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ncccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50=6668067.69nM,6.67E+06,-4.7,3.56E+05,
CHEMBL24396,COc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50=27039583.64nM,2.70E+07,-4.7,3.56E+05,
CHEMBL437897,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccc(C#N)cc2)sc2c1CCC(C)(C)C2,IC50=400nM,4.00E+02,-4.7,3.56E+05,
CHEMBL4446863,O=C(CN1C(=O)S/C(=C\c2ccc(Cl)cc2Cl)C1=O)Nc1ccc(Cl)cc1,IC50=5116.82nM,5.12E+03,-4.7,3.56E+05,
CHEMBL362821,CCCC(CCC)Nn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50=1800nM,1.80E+03,-4.7,3.56E+05,
CHEMBL198083,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccccc2OC(F)(F)F)sc2c1CCC(C)(C)C2,IC50=400nM,4.00E+02,-4.7,3.56E+05,
CHEMBL4548240,COP(=O)(Nc1nn(-c2ccc(-c3cc4ncccn4n3)cc2)cc1C(=O)O)c1ccc(C)cc1C,IC50=3546.9nM,3.55E+03,-4.7,3.56E+05,
CHEMBL203976,O=C(O)c1nc(C2CCCCC2)nc(O)c1O,IC50>50000nM,5.00E+04,-4.7,3.56E+05,
CHEMBL2311161,C[C@]1(O)[C@@H](CO)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]1O,IC50>50000nM,5.00E+04,-4.7,3.56E+05,
CHEMBL4464682,COc1ccc(N2CN=c3s/c(=C/c4ccc(Cl)cc4)c(=O)n3C2)cc1,IC50=3531.83nM,3.53E+03,-4.7,3.56E+05,
CHEMBL364269,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2ccc(C(=O)O)cc21)NCC1CC1,IC50=63nM,6.30E+01,-4.7,3.56E+05,
CHEMBL382395,CS(=O)(=O)c1nc(O)c(O)c(C(=O)O)n1,IC50=2400nM,2.40E+03,-4.7,3.56E+05,
CHEMBL202264,N#Cc1ccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccccc3)C2=O)cc1,IC50=900nM,9.00E+02,-4.7,3.56E+05,
CHEMBL2236447,COc1cc(CSc2nc(-c3cc(Cl)cc(Cl)c3)c(C#N)c(=O)[nH]2)cc(OC)c1,IC50=34000nM,3.40E+04,-4.7,3.56E+05,
CHEMBL4555315,C[C@]1(Cl)[C@H](n2ccc(=O)[nH]c2=O)O[C@](F)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]1O,IC50=110nM,1.10E+02,-4.7,3.56E+05,
CHEMBL195087,CC(C)Oc1ccccc1Oc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)cc1,IC50=44000nM,4.40E+04,-4.7,3.56E+05,
CHEMBL1689375,O=C(CN1C(=O)S/C(=C\c2ccccc2Cl)C1=O)Nc1ccccc1,IC50=35nM,3.50E+01,-4.7,3.56E+05,
CHEMBL4105584,COc1ccc2c(c1)[C@@H]1C[C@]1(C(=O)N1[C@H]3CC[C@@H]1CN(C)C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21,IC50=20nM,2.00E+01,-4.7,3.56E+05,
CHEMBL202191,N#Cc1ccccc1Cn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50=780nM,7.80E+02,-4.7,3.56E+05,
CHEMBL4518864,O=C(CN1C(=O)S/C(=C\c2ccc(F)cc2)C1=O)Nc1ccccc1,IC50=139.96nM,1.40E+02,-4.7,3.56E+05,
CHEMBL2236430,COc1cc(CSc2nc(-c3ccc(Br)cc3)c(C#N)c(=O)[nH]2)cc(OC)c1,IC50=13000nM,1.30E+04,-4.6,4.21E+05,
CHEMBL199195,O=C(O)C(=O)/C=C(\O)c1cccn1Cc1ccc(O)cc1,IC50=13000nM,1.30E+04,-4.6,4.21E+05,
CHEMBL383960,O=C(O)c1ccc2c(C3CCCC3)c(-c3ccoc3)[nH]c2c1,IC50=25nM,2.50E+01,-4.6,4.21E+05,
CHEMBL212677,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3ccccc3)cc1)n2C1CCCCC1,IC50=200nM,2.00E+02,-4.6,4.21E+05,
CHEMBL377907,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)c(F)c1)n2C1CCCCC1,IC50=380nM,3.80E+02,-4.6,4.21E+05,
CHEMBL363199,O=C(Cn1c(-c2ccc(Cl)cc2)c(C2CCCCC2)c2ccc(C(=O)O)cc21)NCC1CC1,IC50=8nM,8.00E+00,-4.6,4.21E+05,
CHEMBL215848,CN(C)C(=O)Cn1c(-c2ccccc2)c(C2CCCCC2)c2cc(C(=O)O)sc21,IC50=230nM,2.30E+02,-4.6,4.21E+05,
CHEMBL371388,O=C(O)/C(=C/c1ccc(-c2ccc(F)cc2)o1)NC(=O)c1ccccc1,IC50=12000nM,1.20E+04,-4.6,4.21E+05,
CHEMBL373786,N#Cc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50=41nM,4.10E+01,-4.6,4.21E+05,
CHEMBL201550,O=C1/C(=C/c2ccc(Cl)c(Cl)c2)SC(=S)N1NS(=O)(=O)c1cccs1,IC50=200nM,2.00E+02,-4.6,4.21E+05,
CHEMBL305890,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)nc(N)nc21,IC50=2600nM,2.60E+03,-4.6,4.21E+05,
CHEMBL175177,O=C(O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,IC50=1100nM,1.10E+03,-4.6,4.21E+05,
CHEMBL372984,O=C(O)C(=O)/C=C(\O)c1cccn1Cc1ccccc1Cl,IC50=24000nM,2.40E+04,-4.6,4.21E+05,
CHEMBL353561,O=C(N[C@@H](Cc1ccccc1)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,IC50=4000nM,4.00E+03,-4.6,4.21E+05,
CHEMBL212120,Cc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=N2,IC50=25700nM,2.57E+04,-4.6,4.21E+05,
CHEMBL183046,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc21,IC50=69nM,6.90E+01,-4.6,4.21E+05,
CHEMBL361207,O=C(O)c1cnc(N(C(=O)c2ccc(OCc3ccccc3)cc2)C2CCCCC2)s1,IC50=6500nM,6.50E+03,-4.6,4.21E+05,
CHEMBL181246,CCCC(Nn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21)C(C)C,IC50=6400nM,6.40E+03,-4.6,4.21E+05,
CHEMBL37541,Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C3CCCC3)CC2=O)c(C(C)(C)C)cc1N,IC50=930nM,9.30E+02,-4.6,4.21E+05,
CHEMBL205990,O=C(Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1)OCc1c(Cl)cccc1Cl,IC50=3780nM,3.78E+03,-4.6,4.21E+05,
CHEMBL362571,COc1nc(-c2cccc(O)c2)nc(C(=O)O)c1O,IC50>50000nM,5.00E+04,-4.6,4.21E+05,
CHEMBL426866,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCCN)ccc3N2)c(O)c2cccnc21,IC50=637nM,6.37E+02,-4.6,4.21E+05,
CHEMBL201256,O=S1(=O)N=C(c2c(O)nc3ccccc3c2O)Nc2ccccc21,IC50>10000nM,1.00E+04,-4.6,4.21E+05,
CHEMBL201456,CSCCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50=53nM,5.30E+01,-4.6,4.21E+05,
CHEMBL359910,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc2n1C1CCCCC1,IC50=50000nM,5.00E+04,-4.6,4.21E+05,
CHEMBL4641646,C[C@@]1(Cl)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,IC50=64nM,6.40E+01,-4.6,4.21E+05,
CHEMBL424014,Cc1cc(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(N)=O)c(C)cc1Cl,IC50=14000nM,1.40E+04,-4.6,4.21E+05,
CHEMBL559638,O=C1c2cccc3c(NCCO)ccc(c23)C(=O)N1c1cccc(Br)c1,IC50=20nM,2.00E+01,-4.6,4.21E+05,
CHEMBL559638,O=C1c2cccc3c(NCCO)ccc(c23)C(=O)N1c1cccc(Br)c1,IC50>1000nM,1.00E+03,-4.6,4.21E+05,
CHEMBL194116,O=C(O)/C(=C/c1ccc(-c2ccccc2OC(F)(F)F)o1)NC(=O)c1ccccc1,IC50=4000nM,4.00E+03,-4.6,4.21E+05,
CHEMBL436119,Cc1ccccc1Cn1cccc1/C=C/C(O)=C/C(=O)C(=O)O,IC50=18000nM,1.80E+04,-4.6,4.21E+05,
CHEMBL387443,CCOc1ccc(CCC2(C3CCCC3)CC(=O)CC(=O)O2)cc1,IC50=2900nM,2.90E+03,-4.6,4.21E+05,
CHEMBL362185,N#Cc1ccc(Br)cc1COc1cccc(/C(O)=C/C(=O)C(=O)O)c1,IC50=100nM,1.00E+02,-4.6,4.21E+05,
CHEMBL361781,O=C(O)[C@H]1C[C@@H](C(=O)O)N(C(=O)c2ccc(C(F)(F)F)cc2)C1,IC50=7600nM,7.60E+03,-4.6,4.21E+05,
CHEMBL378114,O=S(=O)(c1cc(Cl)cc(Cl)c1O)N1CCC[C@H]1c1nn[nH]n1,IC50=560nM,5.60E+02,-4.6,4.21E+05,
CHEMBL211336,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)C(C)C)ccc3N2)c(O)c2cccnc21,IC50=3nM,3.00E+00,-4.6,4.21E+05,
CHEMBL202580,O=C1/C(=C/c2ccc(Cl)c(Cl)c2)SC(=S)N1NS(=O)(=O)c1ccccc1,IC50=200nM,2.00E+02,-4.6,4.21E+05,
CHEMBL434136,O=C(O)c1ccc2c(c1)nc(-c1nccs1)n2C1CCCCC1,IC50=4600nM,4.60E+03,-4.6,4.21E+05,
CHEMBL373786,N#Cc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50=41nM,4.10E+01,-4.6,4.21E+05,
CHEMBL310098,COc1ccc2c(C(=O)N(C)CC(=O)O)c(Cl)ccc2c1C(F)(F)F,IC50=5100nM,5.10E+03,-4.6,4.21E+05,
CHEMBL223482,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1ccc(N)nc1=O,IC50=56700nM,5.67E+04,-4.6,4.21E+05,
CHEMBL382170,O=C(O)c1nc(-c2sccc2[N+](=O)[O-])nc(O)c1O,IC50=680nM,6.80E+02,-4.6,4.21E+05,
CHEMBL223585,C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1ccc(N)nc1=O,IC50=51000nM,5.10E+04,-4.6,4.21E+05,
CHEMBL361163,O=C(O)c1cnc(N(C(=O)c2ccc(OCc3cccs3)cc2)C2CCCCC2)s1,IC50=7000nM,7.00E+03,-4.6,4.21E+05,
CHEMBL373786,N#Cc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50=24378108.18nM,2.44E+07,-4.6,4.21E+05,
CHEMBL2017862,O=C(O)/C=C/c1ccc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCCC5)c5n(c4c3)CCCc3nccnc3-5)CCCC2)cc1,IC50=2280nM,2.28E+03,-4.6,4.21E+05,
CHEMBL370821,O=C(O)C(=O)/C=C(\O)c1ccsc1Sc1cccc(Cl)c1,IC50=7500nM,7.50E+03,-4.6,4.21E+05,
CHEMBL383513,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCCCc3ccccc3)cc1)n2C1CCCCC1,IC50=800nM,8.00E+02,-4.6,4.21E+05,
CHEMBL426298,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ncccn2)sc2c1CCC(C)(C)C2,IC50=300nM,3.00E+02,-4.6,4.21E+05,
CHEMBL440573,O=C1/C(=C/c2ccc(Br)c(Br)c2)SC(=S)N1NS(=O)(=O)c1ccccc1,IC50=200nM,2.00E+02,-4.6,4.21E+05,
CHEMBL279214,O=C(O)[C@H](Cc1ccccc1)N(Cc1ccc(Br)cc1)C(=O)c1ccc(Cl)cc1Cl,IC50=9100nM,9.10E+03,-4.6,4.21E+05,
CHEMBL175882,O=C(NCc1ccccc1Cl)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50=130nM,1.30E+02,-4.6,4.21E+05,
CHEMBL371648,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccc(C)cn2)sc2c1CCC(C)(C)C2,IC50=200nM,2.00E+02,-4.6,4.21E+05,
CHEMBL202808,COc1ccc(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCC3)cc2)cc1,IC50=2100nM,2.10E+03,-4.6,4.21E+05,
CHEMBL201601,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(I)ccc21,IC50>10000nM,1.00E+04,-4.6,4.21E+05,
CHEMBL199930,O=C1/C(=C/c2ccc(F)c(F)c2F)SC(=S)N1NS(=O)(=O)c1ccccc1,IC50=1900nM,1.90E+03,-4.6,4.21E+05,
CHEMBL4437513,O=c1/c(=C\c2ccc(Cl)cc2Cl)sc2n1CN(c1ccccc1)CN=2,IC50=1370nM,1.37E+03,-4.6,4.21E+05,
CHEMBL211455,COc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=N2,IC50=8310nM,8.31E+03,-4.6,4.21E+05,
CHEMBL192358,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)C1CC2CCC1C2,IC50=100nM,1.00E+02,-4.6,4.21E+05,
CHEMBL201814,C=CCCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50=90nM,9.00E+01,-4.6,4.21E+05,
CHEMBL366966,O=C(O)C(=O)CC(=O)c1cccc(NC(=O)c2ccccc2)c1,IC50=11000nM,1.10E+04,-4.6,4.21E+05,
CHEMBL4560888,O=c1/c(=C\c2ccc(F)cc2)sc2n1CN(c1ccccc1)CN=2,IC50=2197.86nM,2.20E+03,-4.6,4.21E+05,
CHEMBL202068,NN1C(=O)/C(=C/c2ccc(Cl)cc2)SC1=S,IC50=16000nM,1.60E+04,-4.6,4.21E+05,
CHEMBL202580,O=C1/C(=C/c2ccc(Cl)c(Cl)c2)SC(=S)N1NS(=O)(=O)c1ccccc1,IC50=200nM,2.00E+02,-4.6,4.21E+05,
CHEMBL239976,COc1cccc2c1NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=NS2(=O)=O,IC50=17580nM,1.76E+04,-4.6,4.21E+05,
CHEMBL381033,CC(/C=C1\SC(=S)N(NS(=O)(=O)c2ccccc2)C1=O)=C\c1ccccc1,IC50=200nM,2.00E+02,-4.6,4.21E+05,
CHEMBL372836,O=C1/C(=C/c2ccc(Cl)c(F)c2)SC(=S)N1NS(=O)(=O)c1ccccc1,IC50=1000nM,1.00E+03,-4.6,4.21E+05,
CHEMBL4560888,O=c1/c(=C\c2ccc(F)cc2)sc2n1CN(c1ccccc1)CN=2,IC50=2200nM,2.20E+03,-4.6,4.21E+05,
CHEMBL559638,O=C1c2cccc3c(NCCO)ccc(c23)C(=O)N1c1cccc(Br)c1,IC50=78nM,7.80E+01,-4.6,4.21E+05,
CHEMBL212200,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NN4CCCC4)ccc3N2)c(O)c2cccnc21,IC50=27nM,2.70E+01,-4.6,4.21E+05,
CHEMBL1689375,O=C(CN1C(=O)S/C(=C\c2ccccc2Cl)C1=O)Nc1ccccc1,IC50=34.99nM,3.50E+01,-4.6,4.21E+05,
CHEMBL4475793,O=c1/c(=C\c2ccc(Cl)cc2)sc2n1CN(c1ccccc1)CN=2,IC50=119.95nM,1.20E+02,-4.6,4.21E+05,
CHEMBL4637634,C[C@@]1(O)[C@H](O)[C@@](F)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,IC50=140nM,1.40E+02,-4.6,4.21E+05,
CHEMBL4446863,O=C(CN1C(=O)S/C(=C\c2ccc(Cl)cc2Cl)C1=O)Nc1ccc(Cl)cc1,IC50=5120nM,5.12E+03,-4.6,4.21E+05,
CHEMBL4441238,COP(=O)(Nc1nn(-c2ccc(-c3cc4nc(C)cc(N)n4n3)cc2)cc1C(=O)O)c1ccc(C)cc1C,IC50=253.8nM,2.54E+02,-4.6,4.21E+05,
CHEMBL183722,CCCC(C)Nc1ncnc2nc(-c3ccccc3)c(-c3ccccc3)nc12,IC50=6000nM,6.00E+03,-4.5,4.99E+05,
CHEMBL209796,O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccc3)[nH]c2n1,IC50=150nM,1.50E+02,-4.5,4.99E+05,
CHEMBL426227,O=C(O)c1ccc2c(c1)nc(-c1ncc[nH]1)n2C1CCCCC1,IC50=10000nM,1.00E+04,-4.5,4.99E+05,
CHEMBL607237,C[C@H]1CC[C@@H](N(C(=O)c2ccc(Oc3ccccc3)cc2)c2nc(C(=O)O)cs2)CC1,IC50=5400nM,5.40E+03,-4.5,4.99E+05,
CHEMBL365127,O=C(O)/C(=C/c1ncc(-c2ccccc2Cl)s1)NC(=O)c1ccccc1,IC50=5200nM,5.20E+03,-4.5,4.99E+05,
CHEMBL177930,N#Cc1cccc(COc2cccc(/C(O)=C/C(=O)C(=O)O)c2)c1,IC50=6700nM,6.70E+03,-4.5,4.99E+05,
CHEMBL212583,Cc1nc(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c(-c2ccc(Cl)cc2)s1,IC50=170nM,1.70E+02,-4.5,4.99E+05,
CHEMBL3651431,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5ccccc5)COC4)ccc3C)c(F)c12,IC50=57nM,5.70E+01,-4.5,4.99E+05,
CHEMBL192269,O=C(O)/C(=C/c1ccc(Oc2ccccc2I)cc1)NC(=O)C1CC1,IC50=2800nM,2.80E+03,-4.5,4.99E+05,
CHEMBL607237,C[C@H]1CC[C@@H](N(C(=O)c2ccc(Oc3ccccc3)cc2)c2nc(C(=O)O)cs2)CC1,IC50=5700nM,5.70E+03,-4.5,4.99E+05,
CHEMBL377720,O=C1/C(=C/c2ccc(Cl)cc2)SC(=S)N1NS(=O)(=O)c1ccccc1,IC50=1500nM,1.50E+03,-4.5,4.99E+05,
CHEMBL165038,Cc1cc(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)c(C)cc1Cl,IC50=5000nM,5.00E+03,-4.5,4.99E+05,
CHEMBL184072,COc1ccc2c(C(=O)NC(CCC(=O)O)C(=O)O)c(Br)ccc2c1C(F)(F)F,IC50=120nM,1.20E+02,-4.5,4.99E+05,
CHEMBL212583,Cc1nc(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c(-c2ccc(Cl)cc2)s1,IC50=5888436.55nM,5.89E+06,-4.5,4.99E+05,
CHEMBL178076,COc1ccc(CCNC(=O)c2ccc3c(c2)nc(-c2ccccn2)n3C2CCCCC2)cc1OC,IC50=12000nM,1.20E+04,-4.5,4.99E+05,
CHEMBL184500,COc1ccc2c(C(=O)NC(CCC(=O)O)C(=O)O)cccc2c1C(F)(F)F,IC50=490nM,4.90E+02,-4.5,4.99E+05,
CHEMBL362572,CS(=O)(=O)N1CCN(C(=O)Cn2c(-c3ccccc3)c(C3CCCCC3)c3ccc(C(=O)O)cc32)CC1,IC50=19nM,1.90E+01,-4.5,4.99E+05,
CHEMBL217807,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)Cc1ccccc1-3,IC50=210nM,2.10E+02,-4.5,4.99E+05,
CHEMBL2236424,COc1cc(CSc2nc(-c3ccc(F)cc3F)c(C#N)c(=O)[nH]2)cc(OC)c1,IC50=19000nM,1.90E+04,-4.5,4.99E+05,
CHEMBL185589,O=C(NS(=O)(=O)C(F)(F)F)c1nc(-c2cccs2)nc(O)c1O,IC50=6200nM,6.20E+03,-4.5,4.99E+05,
CHEMBL205990,O=C(Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1)OCc1c(Cl)cccc1Cl,IC50=302nM,3.02E+02,-4.5,4.99E+05,
CHEMBL361981,C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2ccccc2)N1C(=O)c1ccc(C(F)(F)F)cc1,IC50>20000nM,2.00E+04,-4.5,4.99E+05,
CHEMBL203575,Cn1c(-c2sccc2NC(=O)Nc2ccccc2Cl)nc(C(=O)O)c(O)c1=O,IC50=1200nM,1.20E+03,-4.5,4.99E+05,
CHEMBL446444,Cc1ccc(Cn2cccc2/C=C/C(O)=C/C(=O)C(=O)O)cc1,IC50=28000nM,2.80E+04,-4.5,4.99E+05,
CHEMBL377721,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccc([N+](=O)[O-])cc21,IC50>10000nM,1.00E+04,-4.5,4.99E+05,
CHEMBL73809,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,IC50=1900nM,1.90E+03,-4.5,4.99E+05,
CHEMBL214365,CCCNC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50=21nM,2.10E+01,-4.5,4.99E+05,
CHEMBL189534,CN1CCN(C(=O)Cn2c(-c3ccccc3)c(C3CCCC3)c3ccc(C(=O)O)cc32)CC1,IC50=68nM,6.80E+01,-4.5,4.99E+05,
CHEMBL239977,COc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c3cccnc3n(CCC(C)C)c1=O)N2,IC50=65nM,6.50E+01,-4.5,4.99E+05,
CHEMBL211408,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)c4ccccc4)ccc3N2)c(O)c2cccnc21,IC50=7nM,7.00E+00,-4.5,4.99E+05,
CHEMBL239976,COc1cccc2c1NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=NS2(=O)=O,IC50=1170nM,1.17E+03,-4.5,4.99E+05,
CHEMBL378174,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(O)ccc3N2)c(O)c2cccnc21,IC50=42nM,4.20E+01,-4.5,4.99E+05,
CHEMBL202448,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)cc2ccccc21,IC50>10000nM,1.00E+04,-4.5,4.99E+05,
CHEMBL386515,CN(C)C(C)(C)c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1,IC50>10000nM,1.00E+04,-4.5,4.99E+05,
CHEMBL371867,O=C(O)C(=O)/C=C(\O)c1cccn1Cc1ccccc1,IC50=29000nM,2.90E+04,-4.5,4.99E+05,
CHEMBL196012,O=C(O)C(=O)/C=C(\O)c1ccccc1Cc1ccc(F)cc1,IC50=8300nM,8.30E+03,-4.5,4.99E+05,
CHEMBL383596,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccc(C)cc2)sc2c1CCC(C)C2,IC50=200nM,2.00E+02,-4.5,4.99E+05,
CHEMBL24548,Cc1cccc(CN(C(=O)c2ccc(Cl)cc2Cl)[C@@H](Cc2ccccc2)C(=O)O)c1,IC50=1800nM,1.80E+03,-4.5,4.99E+05,
CHEMBL209444,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NCC#N)ccc3N2)c(O)c2cccnc21,IC50=120nM,1.20E+02,-4.5,4.99E+05,
CHEMBL439333,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(NC(=O)C3CCCC3)ccc21,IC50=973nM,9.73E+02,-4.5,4.99E+05,
CHEMBL200965,O=C1/C(=C/c2ccc(Br)cc2)SC(=S)N1NS(=O)(=O)c1ccccc1,IC50=700nM,7.00E+02,-4.5,4.99E+05,
