Molecule,Smiles,IC50,affinity(kcal/mol),rmsd l.b.,rmsd u.b.
CHEMBL4643906,Cc1c(C(=O)O)sc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N(C)C3CCN(C(C)C)C3)c12,10,-7.6,0,0
CHEMBL4643906,Cc1c(C(=O)O)sc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N(C)C3CCN(C(C)C)C3)c12,10,-7.4,1.846,2.814
CHEMBL4643906,Cc1c(C(=O)O)sc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N(C)C3CCN(C(C)C)C3)c12,10,-6.2,2.281,5.101
CHEMBL4643906,Cc1c(C(=O)O)sc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N(C)C3CCN(C(C)C)C3)c12,10,-6,2.938,5.124
CHEMBL4643906,Cc1c(C(=O)O)sc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N(C)C3CCN(C(C)C)C3)c12,10,-5.1,1.928,5.12
CHEMBL4643906,Cc1c(C(=O)O)sc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N(C)C3CCN(C(C)C)C3)c12,10,-5.1,2.004,5.142
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13,-9.5,0,0
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13,-9.3,1.347,3.598
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13,-8.9,2.415,8.073
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13,-8.6,5.405,8.974
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13,-8.5,2.397,8.353
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13,-8.4,2.892,8.003
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13,-8.3,1.175,1.791
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13,-6.6,1.914,4.346
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,13,-10.2,0,0
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,13,-9.7,1.872,3.962
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,13,-9.6,3.443,7.499
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,13,-9.2,3.282,7.782
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,13,-8.4,3.803,8.699
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,13,-7.2,1.372,2.14
CHEMBL4643189,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccc(N4CCCC4=O)cc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,17,-12.7,0,0
CHEMBL4643189,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccc(N4CCCC4=O)cc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,17,-12.2,2.171,8.554
CHEMBL4643189,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccc(N4CCCC4=O)cc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,17,-11,2.138,3.622
CHEMBL4643189,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccc(N4CCCC4=O)cc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,17,-10.9,1.606,8.23
CHEMBL4643189,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccc(N4CCCC4=O)cc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,17,-10.4,5.362,8.687
CHEMBL3422107,CC(C)N1CC[C@@H](N2CCn3c(c(C4CCCCC4)c4sc(C(=O)O)cc43)-c3ccccc3C2)C1,19,-11.1,0,0
CHEMBL3422107,CC(C)N1CC[C@@H](N2CCn3c(c(C4CCCCC4)c4sc(C(=O)O)cc43)-c3ccccc3C2)C1,19,-10.9,2.127,3.78
CHEMBL3422107,CC(C)N1CC[C@@H](N2CCn3c(c(C4CCCCC4)c4sc(C(=O)O)cc43)-c3ccccc3C2)C1,19,-10.7,2.81,5.728
CHEMBL3422107,CC(C)N1CC[C@@H](N2CCn3c(c(C4CCCCC4)c4sc(C(=O)O)cc43)-c3ccccc3C2)C1,19,-10.3,3.908,6.401
CHEMBL3422107,CC(C)N1CC[C@@H](N2CCn3c(c(C4CCCCC4)c4sc(C(=O)O)cc43)-c3ccccc3C2)C1,19,-10.1,5.042,7.461
CHEMBL3422107,CC(C)N1CC[C@@H](N2CCn3c(c(C4CCCCC4)c4sc(C(=O)O)cc43)-c3ccccc3C2)C1,19,-9.2,4.187,7.332
CHEMBL3422107,CC(C)N1CC[C@@H](N2CCn3c(c(C4CCCCC4)c4sc(C(=O)O)cc43)-c3ccccc3C2)C1,19,-9.1,5.174,7.231
CHEMBL353549,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,19,-11,0,0
CHEMBL353549,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,19,-10.6,2.171,6.853
CHEMBL353549,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,19,-10.5,2.084,6.792
