Molecule,Smiles,IC50,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
CHEMBL4643906,Cc1c(C(=O)O)sc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N(C)C3CCN(C(C)C)C3)c12,10.0,-8.3,2.086,4.127,
CHEMBL4643906,Cc1c(C(=O)O)sc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N(C)C3CCN(C(C)C)C3)c12,10.0,-7.8,2.094,5.424,
CHEMBL4643906,Cc1c(C(=O)O)sc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N(C)C3CCN(C(C)C)C3)c12,10.0,-6.9,1.66,2.704,
CHEMBL4643906,Cc1c(C(=O)O)sc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N(C)C3CCN(C(C)C)C3)c12,10.0,-6.8,2.013,5.154,
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13.0,-10.5,0.0,0.0,
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13.0,-8.9,1.645,3.671,
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13.0,-8.6,3.495,6.301,
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13.0,-8.6,1.387,3.783,
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13.0,-7.9,2.111,4.499,
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13.0,-7.9,2.626,3.601,
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13.0,-7.7,1.506,2.202,
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,13.0,-7.6,3.679,5.672,
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,13.0,-10.9,0.0,0.0,
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,13.0,-9.2,2.178,3.827,
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,13.0,-9.0,3.65,6.275,
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,13.0,-8.4,2.192,4.055,
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,13.0,-8.4,2.505,3.459,
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,13.0,-8.2,2.577,4.45,
CHEMBL4643189,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccc(N4CCCC4=O)cc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,17.0,-12.6,0.0,0.0,
CHEMBL4643189,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccc(N4CCCC4=O)cc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,17.0,-12.0,1.949,8.152,
CHEMBL4643189,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccc(N4CCCC4=O)cc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,17.0,-11.3,2.678,8.414,
CHEMBL4643189,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccc(N4CCCC4=O)cc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,17.0,-11.2,2.217,3.139,
CHEMBL4643189,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccc(N4CCCC4=O)cc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,17.0,-10.5,2.581,4.503,
CHEMBL3422107,CC(C)N1CC[C@@H](N2CCn3c(c(C4CCCCC4)c4sc(C(=O)O)cc43)-c3ccccc3C2)C1,19.0,-13.1,0.0,0.0,
CHEMBL3422107,CC(C)N1CC[C@@H](N2CCn3c(c(C4CCCCC4)c4sc(C(=O)O)cc43)-c3ccccc3C2)C1,19.0,-11.7,0.772,1.07,
CHEMBL3422107,CC(C)N1CC[C@@H](N2CCn3c(c(C4CCCCC4)c4sc(C(=O)O)cc43)-c3ccccc3C2)C1,19.0,-11.5,3.401,6.741,
CHEMBL3422107,CC(C)N1CC[C@@H](N2CCn3c(c(C4CCCCC4)c4sc(C(=O)O)cc43)-c3ccccc3C2)C1,19.0,-11.4,3.132,5.799,
CHEMBL3422107,CC(C)N1CC[C@@H](N2CCn3c(c(C4CCCCC4)c4sc(C(=O)O)cc43)-c3ccccc3C2)C1,19.0,-10.8,3.225,6.624,
CHEMBL3422107,CC(C)N1CC[C@@H](N2CCn3c(c(C4CCCCC4)c4sc(C(=O)O)cc43)-c3ccccc3C2)C1,19.0,-10.5,2.447,3.861,
