Molecule ChEMBL ID,Smiles,Standard Value,IC50(nM),¦¤G, predict affinity(kcal/mol),difference,annotation
CHEMBL380869,O=C(Nc1ccccc1)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50 = 580,5.80E+02,-6.6,1.43E+04,1.38E+04,
CHEMBL378114,O=S(=O)(c1cc(Cl)cc(Cl)c1O)N1CCC[C@H]1c1nn[nH]n1,IC50 = 560,5.60E+02,-6.6,1.43E+04,1.38E+04,
CHEMBL3422648,C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,IC50 = 420,4.20E+02,-6.6,1.43E+04,1.39E+04,
CHEMBL82516,CCOC(=O)N(CC(=O)O)C(=O)c1c(Br)ccc2c(C(F)(F)F)c(OC)ccc12,IC50 = 3100,3.10E+03,-6.5,1.70E+04,1.39E+04,
CHEMBL4088430,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@]2(F)Cl)c(=O)[nH]1,IC50 = 300,3.00E+02,-6.6,1.43E+04,1.40E+04,
CHEMBL181653,O=C(O)c1nc(-c2cccs2)nc(O)c1O,IC50 = 240,2.40E+02,-6.6,1.43E+04,1.41E+04,
CHEMBL205026,O=C(O)c1nc(-c2ccco2)nc(O)c1O,IC50 = 240,2.40E+02,-6.6,1.43E+04,1.41E+04,
CHEMBL369555,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc2n1CC1CCCCC1,IC50 = 93,9.30E+01,-6.6,1.43E+04,1.43E+04,
CHEMBL443044,CN(C)C1CNC(C(=O)Cn2c(-c3ccc(Cl)cc3)c(C3CCCCC3)c3ccc(C(=O)O)cc32)C1,IC50 = 13,1.30E+01,-6.6,1.43E+04,1.43E+04,
CHEMBL559638,O=C1c2cccc3c(NCCO)ccc(c23)C(=O)N1c1cccc(Br)c1,IC50 = 20,2.00E+01,-6.6,1.43E+04,1.43E+04,
CHEMBL434920,O=C(Cn1c(-c2ccccc2)c(C2CCCC2)c2ccc(C(=O)O)cc21)NCC1CC1,IC50  ,,-6.6,1.43E+04,1.43E+04,
CHEMBL368884,O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccc3)[nH]c2c1,IC50 = 50,5.00E+01,-6.6,1.43E+04,1.43E+04,
CHEMBL369320,O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccc3)n(Cc3ccccc3)c2c1,IC50 = 37,3.70E+01,-6.6,1.43E+04,1.43E+04,
CHEMBL4279640,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(C(C)C)c(-c3cccc(C(=O)NC(C)(C)C)c3)cc12,IC50 = 64,6.40E+01,-6.6,1.43E+04,1.43E+04,
CHEMBL206458,O=C(O)c1nc(-c2cc([N+](=O)[O-])cs2)nc(O)c1O,IC50 = 9400,9.40E+03,-6.3,2.38E+04,1.44E+04,
CHEMBL326470,O=C(O)c1oc2ccccc2c(=O)c1O,IC50 = 19000,1.90E+04,-6.1,3.34E+04,1.44E+04,
CHEMBL205130,O=C(O)c1nc(-c2cnccn2)nc(O)c1O,IC50 = 5300,5.30E+03,-6.4,2.01E+04,1.48E+04,
CHEMBL202606,CCOC(=O)n1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50 = 2036,2.04E+03,-6.5,1.70E+04,1.49E+04,
CHEMBL198181,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccc(C)cc2)sc2c1C(C)CCC2,IC50 = 2000,2.00E+03,-6.5,1.70E+04,1.50E+04,
CHEMBL2236458,CCCCCSc1nc(-c2cccc(C)c2)c(C#N)c(=O)[nH]1,IC50 = 18000,1.80E+04,-6.1,3.34E+04,1.54E+04,
CHEMBL440017,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc2n1CCc1ccccc1,IC50 = 1490,1.49E+03,-6.5,1.70E+04,1.55E+04,
CHEMBL197033,O=C(O)C(=O)/C=C(\O)c1ccc(N2CCCCC2)s1,IC50 = 8200,8.20E+03,-6.3,2.38E+04,1.56E+04,
CHEMBL1090,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,IC50 = 50000,5.00E+04,-5.7,6.56E+04,1.56E+04,
CHEMBL183018,COc1nc(-c2cccs2)nc(C(=O)O)c1O,IC50 = 50000,5.00E+04,-5.7,6.56E+04,1.56E+04,
CHEMBL184665,COc1ccc2c(C(=O)N(CC(=O)O)C(=O)OCC(C)C)c(Br)ccc2c1C(F)(F)F,IC50 = 7700,7.70E+03,-6.3,2.38E+04,1.61E+04,
CHEMBL382383,O=C(O)c1nc(-c2nccs2)nc(O)c1O,IC50 = 760,7.60E+02,-6.5,1.70E+04,1.62E+04,
CHEMBL382383,O=C(O)c1nc(-c2nccs2)nc(O)c1O,IC50 = 760,7.60E+02,-6.5,1.70E+04,1.62E+04,
CHEMBL4470883,N=C1S/C(=C\c2ccccc2)C(=O)N1c1ccccc1,IC50 = 580,5.80E+02,-6.5,1.70E+04,1.64E+04,
CHEMBL199535,CCOC(=O)c1c(NC(=O)NS(=O)(=O)N2CCN(C)CC2)sc2c1CCC(C)(C)C2,IC50 = 400,4.00E+02,-6.5,1.70E+04,1.66E+04,
CHEMBL212583,Cc1nc(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c(-c2ccc(Cl)cc2)s1,IC50 = 170,1.70E+02,-6.5,1.70E+04,1.68E+04,
CHEMBL440562,O=C(O)c1nc(-c2ccccc2)nc(O)c1O,IC50 = 30000,3.00E+04,-5.9,4.68E+04,1.68E+04,
CHEMBL377889,NC(=O)c1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1,IC50 = 69,6.90E+01,-6.5,1.70E+04,1.69E+04,
CHEMBL203575,Cn1c(-c2sccc2NC(=O)Nc2ccccc2Cl)nc(C(=O)O)c(O)c1=O,IC50 = 80,8.00E+01,-6.5,1.70E+04,1.69E+04,
CHEMBL366823,N#Cc1c(Cl)cccc1COc1cccc(/C(O)=C/C(=O)C(=O)O)c1,IC50 = 110,1.10E+02,-6.5,1.70E+04,1.69E+04,
CHEMBL437897,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccc(C#N)cc2)sc2c1CCC(C)(C)C2,IC50 = 90,9.00E+01,-6.5,1.70E+04,1.69E+04,
CHEMBL4450833,COc1ccc(N2CN=c3s/c(=C/c4ccc(F)cc4)c(=O)n3C2)cc1,IC50 = 70,7.00E+01,-6.5,1.70E+04,1.69E+04,
CHEMBL425693,Cn1c(-c2ccccc2)c(C2CCCCC2)c2ccc(C(=O)O)cc21,IC50 = 30,3.00E+01,-6.5,1.70E+04,1.70E+04,
CHEMBL208740,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(N)(=O)=O)ccc3N2)c(O)c2cccnc21,IC50 = 2.8,2.80E+00,-6.5,1.70E+04,1.70E+04,
CHEMBL425693,Cn1c(-c2ccccc2)c(C2CCCCC2)c2ccc(C(=O)O)cc21,IC50 = 28,2.80E+01,-6.5,1.70E+04,1.70E+04,
CHEMBL205026,O=C(O)c1nc(-c2ccco2)nc(O)c1O,IC50 = 2900,2.90E+03,-6.4,2.01E+04,1.72E+04,
CHEMBL382383,O=C(O)c1nc(-c2nccs2)nc(O)c1O,IC50 = 2770,2.77E+03,-6.4,2.01E+04,1.73E+04,
CHEMBL180551,O=C(O)c1cnc(N(C(=O)c2ccc(OCc3cccc(F)c3)cc2)C2CCCCC2)s1,IC50 = 6500,6.50E+03,-6.3,2.38E+04,1.73E+04,
CHEMBL183968,COc1ccc2c(C(=O)N(CC(=O)O)C(=O)OCC(C)(C)C)c(Br)ccc2c1C(F)(F)F,IC50 = 6400,6.40E+03,-6.3,2.38E+04,1.74E+04,
CHEMBL198879,Cn1cc(C(=O)c2ccc(F)cc2)cc1/C=C/C(O)=C/C(=O)C(=O)O,IC50 = 16000,1.60E+04,-6.1,3.34E+04,1.74E+04,
CHEMBL181653,O=C(O)c1nc(-c2cccs2)nc(O)c1O,IC50 = 2600,2.60E+03,-6.4,2.01E+04,1.75E+04,
CHEMBL16326,O=C(O)C(=O)/C=C(\O)c1ccccc1,IC50 = 5700,5.70E+03,-6.3,2.38E+04,1.81E+04,
CHEMBL362617,O=C(O)c1cnc(N(C(=O)c2ccc(OC3CCCCC3)cc2)C2CCCCC2)s1,IC50 = 5500,5.50E+03,-6.3,2.38E+04,1.83E+04,
CHEMBL362481,COc1ccc2c(C(=O)NC(CCC(=O)O)C(=O)O)c(F)ccc2c1C(F)(F)F,IC50 = 1400,1.40E+03,-6.4,2.01E+04,1.87E+04,
CHEMBL310098,COc1ccc2c(C(=O)N(C)CC(=O)O)c(Cl)ccc2c1C(F)(F)F,IC50 = 5100,5.10E+03,-6.3,2.38E+04,1.87E+04,
CHEMBL439523,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccc(Cl)cc2)sc2c1CCCC2,IC50 = 1000,1.00E+03,-6.4,2.01E+04,1.91E+04,
CHEMBL193447,O=C(O)C(=O)/C=C(\O)c1cccc(O)c1,IC50 = 1000,1.00E+03,-6.4,2.01E+04,1.91E+04,
CHEMBL202264,N#Cc1ccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccccc3)C2=O)cc1,IC50 = 900,9.00E+02,-6.4,2.01E+04,1.92E+04,
CHEMBL202079,COCCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50 = 819,8.19E+02,-6.4,2.01E+04,1.93E+04,
CHEMBL2236461,CCCCCSc1nc(-c2ccccc2C(F)(F)F)c(C#N)c(=O)[nH]1,IC50 = 20000,2.00E+04,-6,3.95E+04,1.95E+04,
CHEMBL196154,N#CCCCOc1ccccc1/C(O)=C/C(=O)C(=O)O,IC50 = 380,3.80E+02,-6.4,2.01E+04,1.97E+04,
CHEMBL181556,CCCC(CC)Nn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50 = 386,3.86E+02,-6.4,2.01E+04,1.97E+04,
CHEMBL440760,CCOC(=O)c1c(NC(=O)NS(=O)(=O)N2CCN(C(C)=O)CC2)sc2c1CCC(C)(C)C2,IC50 = 300,3.00E+02,-6.4,2.01E+04,1.98E+04,
CHEMBL211709,O=c1c(C2=NS(=O)(=O)c3cccc(O)c3N2)c(O)c2cccnc2n1Cc1ccccc1,IC50 = 8370,8.37E+03,-6.2,2.82E+04,1.98E+04,
CHEMBL382383,O=C(O)c1nc(-c2nccs2)nc(O)c1O,IC50 = 210,2.10E+02,-6.4,2.01E+04,1.99E+04,
CHEMBL214031,O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccn3)[nH]c2c1,IC50 = 230,2.30E+02,-6.4,2.01E+04,1.99E+04,
CHEMBL193427,O=C(O)/C(=C/c1ccc(Oc2c(F)cccc2Cl)cc1)NC(=O)c1ccccc1,IC50 = 70,7.00E+01,-6.4,2.01E+04,2.00E+04,
CHEMBL211766,O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccc3)cn2c1,IC50 = 94,9.40E+01,-6.4,2.01E+04,2.00E+04,
CHEMBL198423,N#Cc1cccc(Cl)c1COc1cc(O)cc(/C(O)=C/C(=O)C(=O)O)c1,IC50 = 100,1.00E+02,-6.4,2.01E+04,2.00E+04,
CHEMBL386319,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2ccccc2)ccc1-3,IC50 = 17,1.70E+01,-6.4,2.01E+04,2.01E+04,
CHEMBL379184,CCOC(=O)COC(=O)NS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,IC50 = 61,6.10E+01,-6.4,2.01E+04,2.01E+04,
CHEMBL2375371,O=C(O)c1cc(Oc2ccccc2)ccc1NS(=O)(=O)c1ccc(Br)cc1F,IC50 = 52,5.20E+01,-6.4,2.01E+04,2.01E+04,
CHEMBL203254,CC1CC1Cn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50 = 41,4.10E+01,-6.4,2.01E+04,2.01E+04,
CHEMBL2387641,O=C(O)[C@H](Cc1ccccc1)N1C(=O)/C(=C/c2cccc(Oc3ccc(Cl)cc3)c2)SC1=S,IC50 = 3600,3.60E+03,-6.3,2.38E+04,2.02E+04,
CHEMBL4640738,CCCC1(CC(=O)O)OCCC2c3c(CC)ccc(Cl)c3NC21,IC50 = 3000,3.00E+03,-6.3,2.38E+04,2.08E+04,
CHEMBL200986,O=C1/C(=C/c2ccc(F)cc2F)SC(=S)N1NS(=O)(=O)c1ccccc1,IC50 = 3000,3.00E+03,-6.3,2.38E+04,2.08E+04,
CHEMBL181246,CCCC(Nn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21)C(C)C,IC50 = 6400,6.40E+03,-6.2,2.82E+04,2.18E+04,
CHEMBL73809,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,IC50 = 1900,1.90E+03,-6.3,2.38E+04,2.19E+04,
CHEMBL359981,Cn1c(-c2cccc(O)c2)nc(C(=O)O)c(O)c1=O,IC50 = 6000,6.00E+03,-6.2,2.82E+04,2.22E+04,
CHEMBL179943,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc2n1Cc1ccccc1,IC50 = 5800,5.80E+03,-6.2,2.82E+04,2.24E+04,
CHEMBL372777,O=C1C(Cc2ccc(Cl)c(Cl)c2)SC(=S)N1NS(=O)(=O)c1ccccc1,IC50 = 11000,1.10E+04,-6.1,3.34E+04,2.24E+04,
CHEMBL607235,C[C@@H]1CCCC[C@H]1N(C(=O)c1ccc(Oc2ccccc2)cc1)c1nc(C(=O)O)cs1,IC50 = 11000,1.10E+04,-6.1,3.34E+04,2.24E+04,
CHEMBL16326,O=C(O)C(=O)/C=C(\O)c1ccccc1,IC50 = 5700,5.70E+03,-6.2,2.82E+04,2.25E+04,
CHEMBL16326,O=C(O)C(=O)/C=C(\O)c1ccccc1,IC50 = 5600,5.60E+03,-6.2,2.82E+04,2.26E+04,
CHEMBL215736,COc1ccc(CCC2(C3CCCC3)CC(=O)CC(=O)O2)cc1F,IC50 = 890,8.90E+02,-6.3,2.38E+04,2.29E+04,
CHEMBL372400,CCOC(=O)c1c(NC(=O)NS(=O)(=O)N2CCc3ccccc3C2)sc2c1CCC(C)(C)C2,IC50 = 600,6.00E+02,-6.3,2.38E+04,2.32E+04,
CHEMBL201475,CCCC1(CC(=O)O)OCCc2c1sc1c(C)ccc(C#N)c21,IC50 = 320,3.20E+02,-6.3,2.38E+04,2.35E+04,
CHEMBL175533,O=C(O)C(=O)CC(=O)c1cccc(NS(=O)(=O)c2ccccc2)c1,IC50 = 16000,1.60E+04,-6,3.95E+04,2.35E+04,
CHEMBL201313,CCCC1(CC(=O)O)OCCc2c1sc1c(C)ccc(Br)c21,IC50 = 190,1.90E+02,-6.3,2.38E+04,2.36E+04,
CHEMBL381529,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2c(Br)cccc21,IC50 = 105,1.05E+02,-6.3,2.38E+04,2.37E+04,
CHEMBL216384,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCCc1ccccc1-3,IC50 = 77,7.70E+01,-6.3,2.38E+04,2.37E+04,
CHEMBL190800,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccc(Cl)cc1,IC50 = 110,1.10E+02,-6.3,2.38E+04,2.37E+04,
CHEMBL386744,O=C(O)c1cc2[nH]c(-c3ccccc3)c(C3CCCCC3)c2s1,IC50 = 66,6.60E+01,-6.3,2.38E+04,2.38E+04,
CHEMBL210158,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c(O)c2cccnc21,IC50 = 2,2.00E+00,-6.3,2.38E+04,2.38E+04,
CHEMBL370081,CCc1ccccc1Oc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)cc1,IC50 = 9400,9.40E+03,-6.1,3.34E+04,2.40E+04,
CHEMBL279214,O=C(O)[C@H](Cc1ccccc1)N(Cc1ccc(Br)cc1)C(=O)c1ccc(Cl)cc1Cl,IC50 = 9100,9.10E+03,-6.1,3.34E+04,2.43E+04,
CHEMBL84152,COC(=O)N(CC(=O)O)C(=O)c1c(F)ccc2c(C(F)(F)F)c(OC)ccc12,IC50 = 15200,1.52E+04,-6,3.95E+04,2.43E+04,
CHEMBL433580,CCCC[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2ccccc2)N1C(=O)c1ccc(C(F)(F)F)cc1,IC50 = 3300,3.30E+03,-6.2,2.82E+04,2.49E+04,
CHEMBL183498,C=CCOC(=O)N(CC(=O)O)C(=O)c1c(Br)ccc2c(C(F)(F)F)c(OC)ccc12,IC50 = 3300,3.30E+03,-6.2,2.82E+04,2.49E+04,
CHEMBL361781,O=C(O)[C@H]1C[C@@H](C(=O)O)N(C(=O)c2ccc(C(F)(F)F)cc2)C1,IC50 = 7600,7.60E+03,-6.1,3.34E+04,2.58E+04,
CHEMBL308370,CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(O)nc(N)nc21,IC50 = 1600,1.60E+03,-6.2,2.82E+04,2.66E+04,
CHEMBL174564,O=C(O)c1ccc2c(c1)nc(-c1ccsc1)n2C1CCCCC1,IC50 = 6330,6.33E+03,-6.1,3.34E+04,2.71E+04,
CHEMBL4554477,COc1ccc(/C=C2\SC(=O)N(CC(=O)Nc3ccc(OC)cc3)C2=O)cc1,IC50 = 780,7.80E+02,-6.2,2.82E+04,2.74E+04,
CHEMBL177297,O=C(O)C(=O)CC(=O)c1ccncc1,IC50 > 50000,5.00E+04,-5.6,7.77E+04,2.77E+04,
CHEMBL177826,O=C(CC(O)C(=O)O)c1ccccc1,IC50 > 50000,5.00E+04,-5.6,7.77E+04,2.77E+04,
CHEMBL212583,Cc1nc(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c(-c2ccc(Cl)cc2)s1,IC50 = 170,1.70E+02,-6.2,2.82E+04,2.80E+04,
CHEMBL211709,O=c1c(C2=NS(=O)(=O)c3cccc(O)c3N2)c(O)c2cccnc2n1Cc1ccccc1,IC50 = 54,5.40E+01,-6.2,2.82E+04,2.82E+04,
CHEMBL201406,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(Cl)ccc21,IC50 = 43,4.30E+01,-6.2,2.82E+04,2.82E+04,
CHEMBL521487,C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1ccc(=O)[nH]c1=O,IC50 = 47,4.70E+01,-6.2,2.82E+04,2.82E+04,
CHEMBL200963,CC1(CC(=O)O)OCCc2c1sc1c(Cl)ccc(Cl)c21,IC50 = 17600,1.76E+04,-5.9,4.68E+04,2.92E+04,
CHEMBL200991,CCOC(=O)c1c(NC(=O)NS(C)(=O)=O)sc2c1CCCC2,IC50 = 3800,3.80E+03,-6.1,3.34E+04,2.96E+04,
CHEMBL181653,O=C(O)c1nc(-c2cccs2)nc(O)c1O,IC50 = 9300,9.30E+03,-6,3.95E+04,3.02E+04,
CHEMBL194227,Cc1ccc(CCC(=O)N/C(=C\c2ccc(Oc3ccccc3Br)cc2)C(=O)O)cc1,IC50 = 2600,2.60E+03,-6.1,3.34E+04,3.08E+04,
CHEMBL316179,COc1ccc2c(C(=O)N(C)CC(=O)O)c(Br)ccc2c1C(F)(F)F,IC50 = 2000,2.00E+03,-6.1,3.34E+04,3.14E+04,
CHEMBL175177,O=C(O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,IC50 = 1600,1.60E+03,-6.1,3.34E+04,3.18E+04,
CHEMBL175177,O=C(O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,IC50 = 1600,1.60E+03,-6.1,3.34E+04,3.18E+04,
CHEMBL175177,O=C(O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,IC50 = 1100,1.10E+03,-6.1,3.34E+04,3.23E+04,
CHEMBL191832,NNC(=O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,IC50 = 1000,1.00E+03,-6.1,3.34E+04,3.24E+04,
CHEMBL206937,CCCC1(CC(=O)O)CCCc2c1[nH]c1ccccc21,IC50 > 33000,3.30E+04,-5.7,6.56E+04,3.26E+04,
CHEMBL486231,C[C@@]1(F)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1ccc(=O)[nH]c1=O,IC50 = 606,6.06E+02,-6.1,3.34E+04,3.28E+04,
CHEMBL380462,O=C(Cc1ccccc1)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50 = 380,3.80E+02,-6.1,3.34E+04,3.30E+04,
CHEMBL437897,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccc(C#N)cc2)sc2c1CCC(C)(C)C2,IC50 = 400,4.00E+02,-6.1,3.34E+04,3.30E+04,
CHEMBL4439768,COc1ccc(N2CN=c3s/c(=C/c4ccc(Cl)cc4Cl)c(=O)n3C2)cc1,IC50 = 220,2.20E+02,-6.1,3.34E+04,3.32E+04,
CHEMBL197296,N#Cc1ccccc1Cn1cccc1/C(O)=C/C(=O)C(=O)O,IC50 = 6300,6.30E+03,-6,3.95E+04,3.32E+04,
CHEMBL382997,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)Nc4cccc(C(=O)O)c4)ccc3N2)c(O)c2cccnc21,IC50 = 115,1.15E+02,-6.1,3.34E+04,3.33E+04,
CHEMBL239977,COc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c3cccnc3n(CCC(C)C)c1=O)N2,IC50 = 65,6.50E+01,-6.1,3.34E+04,3.33E+04,
CHEMBL210491,C=CCOC(=O)NS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c3cccnc3n(CCC(C)C)c1=O)N2,IC50 = 88,8.80E+01,-6.1,3.34E+04,3.33E+04,
CHEMBL215329,Cc1c(-c2ccoc2)n(C2CCCCC2)c2ccc(C(=O)O)cc12,IC50 = 44,4.40E+01,-6.1,3.34E+04,3.34E+04,
CHEMBL211849,CC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 18,1.80E+01,-6.1,3.34E+04,3.34E+04,
CHEMBL212363,CC(C)C(=O)N(C)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50 = 32,3.20E+01,-6.1,3.34E+04,3.34E+04,
CHEMBL370124,N#CCCCCn1cccc1/C(O)=C/C(=O)C(=O)O,IC50 = 13000,1.30E+04,-5.9,4.68E+04,3.38E+04,
CHEMBL216032,Cn1c(-c2ccoc2)c(C2CCCC2)c2ccc(C(=O)O)c(C(=O)O)c21,IC50 = 5300,5.30E+03,-6,3.95E+04,3.42E+04,
CHEMBL362796,NCCC[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2ccccc2)N1C(=O)c1ccc(C(F)(F)F)cc1,IC50 > 20000,2.00E+04,-5.8,5.54E+04,3.54E+04,
CHEMBL24541,O=C(O)[C@H](Cc1ccccc1)N(Cc1ccc[n+]([O-])c1)C(=O)c1ccc(Cl)cc1Cl,IC50 = 2700,2.70E+03,-6,3.95E+04,3.68E+04,
CHEMBL211710,O=c1c(C2=NS(=O)(=O)c3ccc(O)cc3N2)c(O)c2cccnc2n1Cc1ccccc1,IC50 = 2510,2.51E+03,-6,3.95E+04,3.70E+04,
CHEMBL109569,CCOC(=O)c1cc(=O)c(O)c(C(=O)O)o1,IC50 = 2250,2.25E+03,-6,3.95E+04,3.73E+04,
CHEMBL184402,COc1ccc2c(C(=O)NC(CC(=O)O)C(=O)O)cccc2c1Br,IC50 = 1200,1.20E+03,-6,3.95E+04,3.83E+04,
CHEMBL212226,COc1cc(OCc2ccccc2-c2ccccc2)ccc1-c1nc2cc(C(=O)O)ccc2n1C1CCCCC1,IC50 = 1100,1.10E+03,-6,3.95E+04,3.84E+04,
CHEMBL4544375,COc1ccc(NC(=O)CN2C(=O)S/C(=C\c3ccccc3)C2=O)cc1,IC50 = 450,4.50E+02,-6,3.95E+04,3.91E+04,
CHEMBL369552,CN(C)C(=O)Cn1c(-c2ccccc2Cl)c(C2CCCCC2)c2ccc(C(=O)O)cc21,IC50 = 372,3.72E+02,-6,3.95E+04,3.92E+04,
CHEMBL4455224,COc1ccc(NC(=O)CN2C(=O)S/C(=C\c3ccc(Cl)cc3)C2=O)cc1,IC50 = 369.83,3.70E+02,-6,3.95E+04,3.92E+04,
CHEMBL202580,O=C1/C(=C/c2ccc(Cl)c(Cl)c2)SC(=S)N1NS(=O)(=O)c1ccccc1,IC50 = 200,2.00E+02,-6,3.95E+04,3.93E+04,
CHEMBL370821,O=C(O)C(=O)/C=C(\O)c1ccsc1Sc1cccc(Cl)c1,IC50 = 7500,7.50E+03,-5.9,4.68E+04,3.93E+04,
CHEMBL184072,COc1ccc2c(C(=O)NC(CCC(=O)O)C(=O)O)c(Br)ccc2c1C(F)(F)F,IC50 = 120,1.20E+02,-6,3.95E+04,3.94E+04,
CHEMBL209357,C#CCOC(=O)NS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c3cccnc3n(CCC(C)C)c1=O)N2,IC50 = 72,7.20E+01,-6,3.95E+04,3.95E+04,
CHEMBL190428,COc1ccc(-c2c(C3CCCCC3)c3ccc(C(=O)O)cc3n2CC(=O)N2CCC(N(C)C)CC2)cc1,IC50 = 9,9.00E+00,-6,3.95E+04,3.95E+04,
CHEMBL383278,C=CCC1(C(=O)O)CCc2c1[nH]c1c(F)ccc(C#N)c21,IC50 = 14500,1.45E+04,-5.8,5.54E+04,4.09E+04,
CHEMBL199039,O=C(O)C(=O)/C=C(\O)c1ccco1,IC50 = 50000,5.00E+04,-5.5,9.20E+04,4.20E+04,
CHEMBL434136,O=C(O)c1ccc2c(c1)nc(-c1nccs1)n2C1CCCCC1,IC50 = 4600,4.60E+03,-5.9,4.68E+04,4.22E+04,
CHEMBL23283,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccc(Cl)cc1Cl,IC50 = 3500,3.50E+03,-5.9,4.68E+04,4.33E+04,
CHEMBL174629,O=C(O)c1ccc2c(c1)nc(-c1cccs1)n2C1CCCCC1,IC50 = 3400,3.40E+03,-5.9,4.68E+04,4.34E+04,
CHEMBL2236452,CCCCCSc1nc(-c2ccc(F)cc2F)c(C#N)c(=O)[nH]1,IC50 = 12022.64,1.20E+04,-5.8,5.54E+04,4.34E+04,
CHEMBL2236447,COc1cc(CSc2nc(-c3cc(Cl)cc(Cl)c3)c(C#N)c(=O)[nH]2)cc(OC)c1,IC50 = 34000,3.40E+04,-5.6,7.77E+04,4.37E+04,
CHEMBL359523,O=C(O)c1ncnc2c1nc(-c1ccoc1)n2C1CCCCC1,IC50 = 1600,1.60E+03,-5.9,4.68E+04,4.52E+04,
CHEMBL183281,O=C(O)c1csc(N(C(=O)c2ccc(Oc3ccccc3)cc2)C2CCCCC2)n1,IC50 = 10000,1.00E+04,-5.8,5.54E+04,4.54E+04,
