NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
37,7,-7.5,2.813,5.449,1.440261761
37,8,-7.5,2.116,4.948,1.472237363
37,9,-7.3,2.183,3.654,0.851047327
38,1,-7.4,0,0,1.388406997
38,2,-7.4,3.641,5.794,1.141453358
38,3,-7.2,4.05,7.374,1.462044753
38,4,-7.1,4.202,6.48,1.202335735
38,5,-7.1,4.289,6.79,1.458309578
38,6,-7,4.145,7.248,1.56408025
38,7,-7,3.94,6.314,1.256196731
38,8,-7,4.221,7.12,1.433242543
38,9,-6.8,4.041,6.407,1.381781047
39,1,-7.8,0,0,0.866450246
39,2,-7.8,3.868,6.443,1.443404772
39,3,-7.6,4.103,6.956,1.093510982
39,4,-7.6,3.466,5.502,1.38407546
39,5,-7.5,4.013,6.635,1.072529199
39,6,-7.2,1.178,1.795,1.337138694
39,7,-7.2,2.817,5.485,0.95325079
39,8,-7.1,4.039,6.42,1.354905068
39,9,-6.9,2.747,4.126,1.561641415
40,1,-8.7,0,0,1.195778364
40,2,-7.9,2.624,5.179,1.178980283
40,3,-7.6,2.012,2.412,1.049718471
40,4,-7.5,1.42,2.106,1.503400634
40,5,-7.1,2.963,5.797,0.965426077
40,6,-7,2.675,4.989,1.192719033
40,7,-7,3.649,5.832,0.89067911
40,8,-6.5,3.979,6.257,1.270133975
40,9,-5.9,3.954,6.685,1.056291535
41,1,-7.7,0,0,1.252755267
41,2,-7.5,1.047,1.627,1.455355518
41,3,-7.5,2.28,3.125,1.225706653
41,4,-7.3,2.831,4.436,1.435506545
41,5,-7.1,2.254,4.39,1.176901451
41,6,-7.1,2.344,3.181,1.035733611
41,7,-7,3.904,7.714,1.252519602
41,8,-6.9,3.971,7.414,1.192835368
41,9,-6.5,4.205,7.244,1.365803735
42,1,-8,0,0,1.012264591
42,2,-7.7,2.76,3.966,1.636612278
42,3,-7.6,2.955,3.963,0.992848467
42,4,-7.5,2.012,4.823,1.40769251
42,5,-7.5,3.082,4.258,1.316804731
42,6,-7.3,3.485,4.97,0.984277533
42,7,-7.2,3.238,4.888,1.020553673
42,8,-7.2,3.592,5.736,0.968862343
42,9,-7.2,4.265,6.656,1.181296587
43,1,-7.9,0,0,1.514665521
43,2,-7.8,4.377,6.814,1.408207916
43,3,-7.7,3.222,4.697,0.91396593
43,4,-7.7,3.01,4.208,1.193037758
43,5,-7.7,3.931,5.413,1.338240353
43,6,-7.5,3.719,5.16,1.269795619
43,7,-7.5,3.848,6.512,1.245307415
43,8,-7.4,2.184,4.825,1.432945441
43,9,-7.1,4.445,7.132,1.196126257
44,1,-7.7,0,0,0.991499944
44,2,-7.5,3.65,5.743,1.463770816
44,3,-7.4,0.962,1.565,1.201192366
44,4,-7.4,4.024,7.183,1.231816347
44,5,-7.4,4.128,6.607,1.675472874
44,6,-7.4,3.248,4.585,1.699511215
44,7,-7.2,4.009,6.702,1.594940655
44,8,-7,3.819,6.853,0.965446881
44,9,-7,2.792,5.307,1.348848519
45,1,-7.7,0,0,1.1119221
45,2,-7.6,0.511,1.156,1.302955747
45,3,-7.1,4.052,6.464,1.418611534
45,4,-6.8,2.562,5.307,0.976323824
45,5,-6.8,4.04,6.856,0.785165513
45,6,-6.7,3.298,4.44,1.429995751
45,7,-6.7,4.181,6.611,0.998982926
45,8,-6.6,2.921,3.787,1.416595235
45,9,-6.5,1.593,2.262,1.628217867
46,1,-8.1,0,0,1.354911363
46,2,-7.9,2.698,4.975,1.215305053
46,3,-7.8,2.729,5.647,1.306269911
46,4,-7.4,2.026,2.849,1.550715306
46,5,-7.3,3.181,5.891,1.403515074
46,6,-7.2,2.587,4.871,1.418945405
46,7,-7.2,1.908,2.532,1.507493071
46,8,-7.1,4.053,6.956,1.107165286
46,9,-7,2.336,4.918,1.09624187
47,1,-8.6,0,0,1.195642427
47,2,-8.6,0.113,1.057,1.195132634
47,3,-7.8,2.657,5.299,1.253791578
47,4,-7.8,3.697,5.782,0.868033247
47,5,-7.3,2.611,5.548,0.968743848
47,6,-7.1,1.336,1.892,1.203941103
47,7,-7,3.981,5.977,1.131967902
47,8,-6.9,4.167,5.684,1.029710018
47,9,-6.9,3.025,5.806,0.963535321
48,1,-8.6,0,0,1.126470429
48,2,-8.4,1.414,1.544,1.040155258
48,3,-8.2,1.403,1.848,1.079260561
48,4,-7.8,3.084,4.876,1.222905506
48,5,-7.6,2.65,4.184,1.318516932
48,6,-7.3,3.792,6.345,1.224730697
48,7,-7.3,2.251,3.735,1.339225758
48,8,-7.3,4.539,7.217,1.34258537
48,9,-7.2,4.766,7.989,0.945220945
49,1,-8.3,0,0,0.969624345
49,2,-7.8,1.804,4.942,0.616037599
49,3,-7.6,3.812,5.974,1.468674927
49,4,-7.3,1.873,4.911,0.6762954
49,5,-6.9,2.072,4.981,0.686790988
49,6,-6.9,3.852,5.993,1.271547567
49,7,-6.8,2.638,5.162,0.691059852
49,8,-6.8,3.627,6.277,1.013185109
49,9,-6.7,3.847,5.104,1.458219382
50,1,-8.3,0,0,1.08105638
50,2,-7.7,1.901,4.771,0.957764892
50,3,-7.7,2.13,4.807,1.243409469
50,4,-7.2,4.225,6.63,1.028167727
50,5,-7.1,1.895,4.815,0.97838157
50,6,-7.1,3.492,5.751,0.944531961
50,7,-6.6,4.448,7.067,1.185621146
50,8,-6.5,2.103,4.942,1.344466816
50,9,-6.5,3.756,6.079,0.851991628
51,1,-8.4,0,0,1.112706985
51,2,-7.8,1.828,4.867,0.888704389
51,3,-7.8,0.942,1.282,1.122050662
51,4,-7.4,1.914,4.861,0.835720301
51,5,-7,2.077,5.054,1.020993231
51,6,-6.6,2.028,4.933,0.868992948
51,7,-6.4,2.021,4.649,1.567979159
51,8,-6.4,1.873,2.345,1.48252142
51,9,-5.9,3.633,6.215,1.098832396
52,1,-8,0,0,1.226570302
52,2,-8,2.356,5.103,1.03894203
52,3,-7.9,2.013,4.804,1.577489222
52,4,-7.8,3.498,5.905,1.425423014
52,5,-7.7,3.529,5.268,1.100953551
52,6,-7.7,2.094,5.08,1.559569753
52,7,-7.6,3.576,5.29,1.500747707
52,8,-7.4,1.956,4.99,1.561334765
52,9,-7.4,1.794,4.759,1.45926483
53,1,-8.7,0,0,1.300925611
53,2,-8.6,2.205,5.291,1.569670384
53,3,-8.3,1.377,2.135,1.646833088
53,4,-8.3,1.913,5.26,1.323358215
53,5,-8.2,2.222,5.425,1.257321112
53,6,-8.1,1.225,1.878,1.61778048
53,7,-8,2.838,5.304,1.151090251
53,8,-7.9,3.629,6.32,1.341648453
53,9,-7.8,2.621,5.76,1.286980092
54,1,-7.9,0,0,1.137744936
54,2,-7.9,4.262,6.267,1.144795656
54,3,-7.8,1.573,1.918,1.407834352
54,4,-7.8,2.635,4.475,1.141001636
54,5,-7.7,3.09,4.078,1.065015661
54,6,-7.6,3.857,5.592,1.077503837
54,7,-7.3,3.188,4.487,1.075256887
54,8,-7.3,3.645,4.889,0.935338517
54,9,-7.1,2.664,4.543,1.346708746
55,1,-7.4,0,0,1.376658284
55,2,-7.4,3.582,5.735,0.828268679
55,3,-7.3,3.683,5.992,1.223963186
55,4,-7.2,4.045,7.385,1.441419081
55,5,-7.1,4.256,6.617,1.20560981
55,6,-7,2.351,4.044,1.22881077
55,7,-6.9,4.035,6.412,1.058998884
55,8,-6.9,4.143,7.222,1.480485024
55,9,-6.9,4.013,6.42,1.337246156
56,1,-7.9,0,0,1.734518864
56,2,-7.9,1.362,1.892,1.816689096
56,3,-7.6,2.779,5.399,1.724909433
56,4,-7.5,1.085,1.47,1.576590835
56,5,-7.4,1.691,2.232,1.287377707
56,6,-7,1.936,4.981,1.672140048
56,7,-7,1.946,2.639,1.197059152
56,8,-6.9,4.243,7.727,1.289689761
56,9,-6.8,3.855,6.746,1.176785609
57,1,-7.8,0,0,1.193692241
57,2,-7.7,3.545,5.795,1.081214628
57,3,-7.5,4.265,7.192,1.404356692
57,4,-7.5,4.08,6.808,1.474423666
57,5,-7.4,4.13,6.57,1.263800784
57,6,-7.3,4.127,7.212,1.357769271
57,7,-7.3,4.044,6.438,1.208569302
57,8,-7.2,3.951,6.08,1.456718618
57,9,-7.1,4.063,6.7,1.066034001
58,1,-8.8,0,0,1.456720138
58,2,-8.6,2.244,5.68,1.499082576
58,3,-8.6,1.515,2.056,1.771685483
58,4,-8.4,1.715,2.344,1.754827381
58,5,-8.2,3.524,6.376,1.164008681
58,6,-7.9,2.315,5.311,1.265685552
58,7,-7.8,4.101,7.182,1.168695353
58,8,-7.7,3.638,6.25,1.095412903
58,9,-7.6,2.264,5.321,0.955711523
59,1,-8.6,0,0,1.19377224
59,2,-7.8,2.644,5.302,1.256411422
59,3,-7.8,2.609,5.406,0.988501625
59,4,-7.4,2.631,5.496,1.266176877
59,5,-7.3,4.138,6.512,1.218617073
59,6,-7,4.276,5.71,1.242947755
59,7,-7,4.007,6,1.032601198
59,8,-6.8,3.874,5.963,1.154038835
59,9,-6.4,4.169,6.043,1.192285349
60,1,-8,0,0,1.468424962
60,2,-7.8,3.213,4.423,1.112154052
60,3,-7.6,3.42,5.202,1.399998166
60,4,-7.5,4.455,6.784,1.076445674
60,5,-7.4,3.498,5.019,1.241087813
60,6,-7.4,4.421,6.735,1.427337585
60,7,-7.2,2.145,4.839,1.384329222
60,8,-7.2,3.721,6.021,0.757730896
60,9,-7.2,4.015,6.644,1.112744933
61,1,-7.6,0,0,1.429205817
61,2,-7.4,3.57,5.668,0.901466216
61,3,-7.3,4.067,7.358,1.583326414
61,4,-7.2,4.249,6.595,1.238446963
61,5,-7.1,4.296,6.643,1.634355919
61,6,-7,4.093,7.255,1.520346678
61,7,-6.9,4.009,6.388,1.450932078
61,8,-6.7,3.783,6.274,1.455714902
61,9,-6.6,2.614,3.852,1.270620249
62,1,-7.7,0,0,1.065412415
62,2,-7,3.697,5.003,1.61583612
62,3,-7,3.128,5.225,1.052036387
62,4,-6.9,4.164,7.043,1.066057452
62,5,-6.8,2.948,5.273,1.326450885
62,6,-6.8,1.047,1.918,1.156167408
62,7,-6.7,4.007,6.864,0.894058394
62,8,-6.5,2.52,5.313,1.083761098
62,9,-6.5,4.203,6.634,0.921790938
63,1,-7.7,0,0,1.091010627
63,2,-7.5,4.078,6.767,1.17136301
63,3,-7.4,4.113,6.485,1.356975186
63,4,-7.3,2.564,5.407,1.366830964
63,5,-7.3,3.499,5.588,1.412509077
63,6,-7.2,4.221,6.608,1.315819955
63,7,-7.1,2.628,5.46,1.011171901
63,8,-6.8,4.104,6.815,1.151354794
63,9,-6.6,1.155,1.997,1.613095361
64,1,-8.7,0,0,1.423111801
64,2,-8.7,2.181,5.264,1.664451422
64,3,-8.2,2.023,2.772,1.195966727
64,4,-8.2,2.021,5.346,1.277442441
64,5,-8,3.711,6.257,1.212791253
64,6,-7.9,2.609,5.725,1.222572746
64,7,-7.9,3.724,7.087,1.573065784
64,8,-7.8,2.509,5.107,1.200872567
64,9,-7.8,1.92,4.384,0.931898066
65,1,-8,0,0,1.211906376
65,2,-7.9,1.884,2.383,1.210139802
65,3,-7.9,4.329,6.345,1.218499926
65,4,-7.8,2.728,3.514,1.243027369
65,5,-7.7,2.662,4.416,0.823537798
65,6,-7.6,2.864,5.165,1.290813485
65,7,-7.5,3.592,4.884,1.226213791
65,8,-7.3,3.074,5.754,1.329811786
65,9,-7.2,3.159,4.429,1.334957718
66,1,-7.6,0,0,1.072884231
66,2,-7.5,3.679,5.944,1.208484484
66,3,-7.3,2.888,4.129,1.4692902
66,4,-7.2,3.503,6.477,1.216578013
66,5,-7.1,2.144,5.08,1.409213592
66,6,-7,3.757,6.137,1.405430107
66,7,-7,3.618,6.529,1.128801088
66,8,-6.8,2.481,3.554,1.343956996
