NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
26,5,-6.8,3.308,6.534,0.591746122
26,6,-6.4,3.229,6.232,0.950859994
26,7,-6.4,3.403,6.101,0.676522058
26,8,-6.4,3.857,5.875,1.252615038
26,9,-6.3,3.196,5.938,1.39737915
27,1,-7.3,0,0,1.207286766
27,2,-7,2.106,4.964,1.291638163
27,3,-6.7,1.955,3.436,1.281921455
27,4,-6.7,2.206,3.629,1.3536885
27,5,-6.6,2.451,5.417,1.437757158
27,6,-6.5,2.2,5.271,1.310112773
27,7,-6.4,1.794,2.464,1.196409906
27,8,-6.4,2.488,5.875,1.462575375
27,9,-6.3,2.65,5.368,1.493335906
28,1,-8.5,0,0,1.164445075
28,2,-8.3,3.968,6.062,0.952923172
28,3,-7.8,1.858,4.814,1.335537116
28,4,-7.8,2.047,4.736,1.279282011
28,5,-7.3,4.07,7.008,1.421543784
28,6,-7.1,3.551,6.209,1.099986555
28,7,-7,1.042,1.493,1.404120345
28,8,-6.8,4.593,6.662,0.654215391
28,9,-6.8,4.99,6.761,0.912063051
29,1,-7.3,0,0,1.211972255
29,2,-7,2.038,4.884,1.305052941
29,3,-6.7,2.212,3.663,1.338236309
29,4,-6.6,1.603,1.992,0.898289306
29,5,-6.6,2.421,5.371,1.417110896
29,6,-6.5,2.21,5.578,1.396507297
29,7,-6.5,1.896,3.124,1.243746533
29,8,-6.4,2.553,5.948,1.449965253
29,9,-6.4,2.402,3.271,0.951162265
30,1,-8.5,0,0,1.163994069
30,2,-8.3,3.971,6.059,0.95204707
30,3,-7.7,2.049,4.735,1.281168458
30,4,-7.7,1.87,4.953,1.362841698
30,5,-7.2,4.148,5.482,0.837934699
30,6,-7.1,3.72,6.224,1.067909528
30,7,-7,3.701,6.311,1.096344236
30,8,-7,2.099,2.987,1.146228815
30,9,-6.9,5.209,7.768,1.035918645
31,1,-7.1,0,0,1.03932059
31,2,-7.1,1.185,1.586,1.466603379
31,3,-7,3.45,5.988,1.18405682
31,4,-6.8,3.616,6.437,0.928488323
31,5,-6.7,3.368,6.573,0.98341512
31,6,-6.6,1.705,2.124,1.041195279
31,7,-6.4,2.506,4.44,1.041242454
31,8,-6.4,3.311,6.143,1.239942434
31,9,-6.4,4.288,6.456,1.374024758
32,1,-8.5,0,0,1.155522168
32,2,-8.3,3.954,6.051,1.014531778
32,3,-7.8,1.852,4.845,1.349424634
32,4,-7.5,2.254,5.094,1.281406617
32,5,-7.3,4.226,6.519,1.377954844
32,6,-7.3,4.057,7.003,1.427329832
32,7,-7.2,2.252,4.582,1.432252254
32,8,-7.2,2.326,5.344,1.475488862
32,9,-7.1,2.027,4.718,1.444981867
33,1,-8.2,0,0,1.12256137
33,2,-7.9,3.902,5.908,1.133969888
33,3,-7.6,1.913,4.759,1.20020913
33,4,-7.5,1.995,4.776,1.316728313
33,5,-7.2,2.082,4.899,1.186861312
33,6,-7.1,1.754,2.343,1.095585635
33,7,-7,3.297,6.028,1.085502704
33,8,-6.9,3.577,6.139,1.061691894
33,9,-6.9,1.451,1.92,1.316369398
34,1,-8.1,0,0,1.119285544
34,2,-7.8,2.899,5.352,1.451967787
34,3,-7.6,2.703,4.993,1.579435417
34,4,-7.2,1.35,2.004,1.217633388
34,5,-6.9,3.34,5.604,1.590309727
34,6,-6.9,1.706,2.406,1.49551342
34,7,-6.9,3.956,6.125,1.296519229
34,8,-6.9,2.432,3.21,1.434067563
34,9,-6.9,4.105,6.428,1.172673848
35,1,-7.3,0,0,1.212950284
35,2,-6.9,2.056,4.898,1.317238225
35,3,-6.6,2.303,3.898,1.208125396
35,4,-6.4,2.415,5.668,1.53095663
35,5,-6.4,2.105,5.328,1.208244367
35,6,-6.4,2.64,5.971,1.526363345
35,7,-6.4,2.854,3.918,1.232052285
35,8,-6.3,2.076,5.037,1.367473089
35,9,-6.3,2.074,3.544,1.206929198
36,1,-8.5,0,0,1.183249458
36,2,-8.2,3.948,6.046,0.928536278
36,3,-7.8,2.035,4.778,1.283216967
36,4,-7.8,1.844,4.982,1.358043923
36,5,-7.2,3.653,6.254,1.092412219
36,6,-7.1,4.167,5.463,0.855010219
36,7,-7,4.148,6.578,0.996215634
36,8,-6.8,2.347,4.564,0.939284922
36,9,-6.7,4.554,6.123,0.894539009
37,1,-8.2,0,0,1.635402603
37,2,-7.9,3.159,4.451,1.452846632
37,3,-7.9,1.797,2.358,1.246878593
37,4,-7.7,3.938,6.818,1.190811491
37,5,-7.6,2.011,5.206,1.439362873
37,6,-7.5,1.139,1.853,1.409399335
37,7,-7.5,3.987,6.885,1.044877532
37,8,-7.5,3.855,5.902,0.98059016
37,9,-7.4,2.172,2.826,1.441960491
38,1,-7.5,0,0,1.167129388
38,2,-7.5,3.364,6.135,1.51728274
38,3,-7.5,3.883,6.918,1.614191986
38,4,-7.4,1.354,1.727,1.281970115
38,5,-7.3,3.625,5.555,1.319778336
38,6,-7.2,3.519,6.524,1.543440215
38,7,-7.1,3.488,6.325,1.121248526
38,8,-6.9,4.171,6.924,1.538927652
38,9,-6.7,4.323,6.859,1.353150415
39,1,-8.3,0,0,1.68294579
39,2,-7.9,4.18,7.186,1.170147234
39,3,-7.9,4.272,7.193,0.935359523
39,4,-7.8,3.529,4.718,1.26332101
39,5,-7.7,4.349,6.925,1.399551509
39,6,-7.6,3.201,6.149,1.562419071
39,7,-7.5,4.696,7.297,1.199703986
39,8,-7.4,2.704,4.825,1.570415688
39,9,-7.4,3.114,5.939,1.34930881
40,1,-9,0,0,1.097104145
40,2,-8.3,3.674,6.186,1.35495839
40,3,-8.2,1.786,2.581,0.728783274
40,4,-8.2,2.733,5.594,1.103527775
40,5,-8.2,2.629,5.029,1.477113271
40,6,-8.2,4.428,6.658,1.432149451
40,7,-7.5,4.287,6.558,1.115790815
40,8,-7.1,3.305,6.184,1.118057469
40,9,-6.7,4.512,6.81,0.620650744
41,1,-8.1,0,0,1.098933442
41,2,-8.1,4.254,7.502,1.153439287
41,3,-7.6,1.235,1.602,1.106959958
41,4,-7.3,2.614,4.871,1.263323704
41,5,-7.1,4.075,7.475,1.070372662
41,6,-7,2.33,3.721,1.180663416
41,7,-6.9,2.232,4.799,1.60645109
41,8,-6.7,3.204,5.24,1.226746482
41,9,-6.6,3.006,4.771,1.309403178
42,1,-8.3,0,0,1.54066766
42,2,-7.7,3.951,6.686,1.129032046
42,3,-7.7,2.237,4.864,0.893598541
42,4,-7.6,1.906,2.703,1.121886314
42,5,-7.6,2.009,2.671,1.27426028
42,6,-7.4,3.554,5.622,1.11973621
42,7,-7.3,4.133,6.203,1.002893311
42,8,-7.2,2.031,2.75,1.535849067
42,9,-7.2,1.486,2.211,1.362518908
43,1,-8.1,0,0,1.518096809
43,2,-8,3.155,4.62,1.504119107
43,3,-7.8,4.211,7.429,1.319375879
43,4,-7.7,4.128,6.61,1.38640508
43,5,-7.7,1.521,2.22,1.375992595
43,6,-7.6,3.927,6.907,1.072061331
43,7,-7.6,4.006,6.954,1.053731504
43,8,-7.5,2.049,5.177,1.30870916
43,9,-7.4,3.755,5.916,1.130554273
44,1,-8,0,0,1.59896816
44,2,-7.6,3.997,6.96,1.022779745
44,3,-7.5,1.245,1.726,0.988719315
44,4,-7.4,1.553,2.108,1.351247029
44,5,-7.3,3.479,4.936,0.745212381
44,6,-7.2,4.213,6.6,1.191904954
44,7,-7.1,4.099,6.641,1.325681015
44,8,-7,2.158,3.172,1.221002297
44,9,-7,4.237,7.263,1.269617264
45,1,-7.9,0,0,1.677918375
45,2,-7.6,4.356,7.634,1.305012611
45,3,-7.4,4.088,6.958,1.037998624
45,4,-7.3,2.985,5.027,1.339550888
45,5,-7.3,2.507,5.418,1.319057456
45,6,-7.2,1.166,1.826,1.324641498
45,7,-7.2,2.703,4.696,1.564216303
45,8,-7.1,4.527,7.152,1.160635362
45,9,-7.1,4.216,7.199,1.056183944
46,1,-8.4,0,0,0.9322136
46,2,-8.1,2.478,4.678,1.20180125
46,3,-7.9,2.799,5.25,1.297132042
46,4,-7.7,4.666,6.993,1.26741839
46,5,-7.6,1.756,2.462,1.309665164
46,6,-7.6,4.354,6.113,1.385479154
46,7,-7.4,3.226,5.858,1.158500323
