NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
22,7,-7.3,3.604,5.867,1.140170279
22,8,-7,4.154,6.215,1.324494515
22,9,-6.9,3.838,6.391,1.411554352
23,1,-6.8,0,0,1.308584741
23,2,-6.7,2.088,4.816,1.197283808
23,3,-6.6,2.432,6.052,1.292505411
23,4,-6.5,2.157,5.453,1.373430536
23,5,-6.4,1.839,5.267,1.211884202
23,6,-6.4,2.087,2.971,1.06417131
23,7,-6.4,1.841,5.155,1.453975009
23,8,-6.3,2.207,6.081,1.486474585
23,9,-6.3,2.449,4.963,1.598237314
24,1,-7.4,0,0,1.183080776
24,2,-7,3.736,6.592,1.66925907
24,3,-7,3.616,6.367,1.063786822
24,4,-7,1.435,1.9,1.045244026
24,5,-6.9,3.33,6.41,1.057936368
24,6,-6.8,2.263,4.531,1.148895452
24,7,-6.8,3.582,5.933,0.617320384
24,8,-6.7,2.827,5.224,0.933571163
24,9,-6.6,2.598,3.721,0.975267059
25,1,-8,0,0,1.202172319
25,2,-7.8,1.692,2.223,2.096897716
25,3,-7.6,3.546,5.476,0.939439809
25,4,-7.4,2.202,5.033,1.314737031
25,5,-7.3,3.94,5.673,2.013883263
25,6,-7.3,3.374,4.058,1.959451056
25,7,-7.2,3.3,5.632,1.414432855
25,8,-7,3.219,6.437,2.317848754
25,9,-7,4.126,5.703,1.644637725
26,1,-7.5,0,0,1.179807278
26,2,-7.2,3.665,6.528,1.666118084
26,3,-7,3.616,6.373,1.039194597
26,4,-7,1.402,1.813,1.033816507
26,5,-6.8,2.253,4.539,1.173585571
26,6,-6.7,2.741,3.965,1.222865829
26,7,-6.6,2.848,5.296,1.204966594
26,8,-6.6,3.897,6.212,1.239704397
26,9,-6.6,3.676,6.207,1.455072088
27,1,-7,0,0,1.194773381
27,2,-6.9,2.136,4.929,1.307134756
27,3,-6.7,2.109,5.229,1.383449228
27,4,-6.7,1.711,2.16,1.337557321
27,5,-6.7,2.271,5.046,1.542899762
27,6,-6.5,1.908,2.882,0.987801414
27,7,-6.5,2.357,3.758,1.063703915
27,8,-6.3,2.469,5.885,1.394611122
27,9,-6.3,2.326,3.112,0.88878398
28,1,-7.9,0,0,0.94563845
28,2,-7.8,1.666,2.225,1.145955524
28,3,-7.6,3.896,5.86,0.609177139
28,4,-7.4,2.104,4.878,1.262671041
28,5,-7.1,3.652,5.885,1.088059355
28,6,-7,4.218,5.863,0.708532394
28,7,-6.9,2.183,2.969,1.334087668
28,8,-6.8,4.577,6.716,1.267230716
28,9,-6.8,2.432,3.217,1.326771002
29,1,-7,0,0,1.194349912
29,2,-6.9,2.12,4.932,1.299972636
29,3,-6.8,2.252,5.068,1.543039309
29,4,-6.6,1.71,2.491,1.209865322
29,5,-6.5,2.715,5.398,1.486191666
29,6,-6.4,2.377,5.32,1.246034421
