NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
46,8,-7,4.362,5.99,1.159930303
46,9,-7,4.206,5.797,1.319895419
47,1,-8.5,0,0,1.105994897
47,2,-7.9,3.367,5.943,1.011871657
47,3,-7.5,2.582,5.546,0.938075785
47,4,-7.5,4.348,6.527,1.01142788
47,5,-7.3,1.931,2.467,1.451992733
47,6,-7,3.926,5.236,1.139157344
47,7,-6.7,3.996,6.437,1.050372718
47,8,-6.6,4.643,6.866,1.033130436
47,9,-6.3,3.763,6.329,0.936873079
48,1,-8.8,0,0,1.131215913
48,2,-8.3,2.701,5.441,1.349368287
48,3,-8.1,4.863,7.901,1.057347304
48,4,-7.8,3.214,5.814,1.23019562
48,5,-7.7,2.011,5.193,1.411717241
48,6,-7.6,2.467,5.662,1.122180118
48,7,-7.5,2.01,2.687,1.019265958
48,8,-7.4,4.134,7.335,1.243409337
48,9,-7.3,4.662,7.283,1.366251904
49,1,-8.3,0,0,0.967788085
49,2,-7.8,3.824,5.906,1.118370733
49,3,-7.2,3.295,6.024,1.083960536
49,4,-7.1,4.17,6.293,1.298897283
49,5,-7,3.966,6.962,0.92590364
49,6,-6.9,2.33,5.375,1.001775784
49,7,-6.9,1.858,5.02,0.815901108
49,8,-6.9,2.088,4.964,0.886264753
49,9,-6.9,4.814,7.153,1.094492754
50,1,-8.1,0,0,0.997143614
50,2,-7.7,3.832,5.853,1.099346744
50,3,-7.4,4.001,5.921,1.304987976
50,4,-7.1,3.203,5.927,1.003665634
50,5,-7.1,4.171,6.331,1.194001317
50,6,-7,1.916,4.964,0.749201686
50,7,-6.9,2.198,4.963,1.147085258
50,8,-6.8,3.983,6.984,1.005165534
50,9,-6.5,3.872,5.928,1.280899446
51,1,-8.3,0,0,1.110563129
51,2,-7.8,3.812,5.895,0.97909056
51,3,-7.1,3.22,5.971,0.951909417
51,4,-7,1.885,5.033,0.861239941
51,5,-7,2.147,5.196,1.138349669
51,6,-6.9,4.324,6.569,1.241803839
51,7,-6.8,2.312,4.912,0.440730415
51,8,-6.7,1.487,2.167,1.09815106
51,9,-6.6,3.818,5.159,1.366374819
52,1,-8.1,0,0,1.362646355
52,2,-7.6,3.327,4.749,1.374837136
52,3,-7.4,3.85,5.9,1.466378779
52,4,-7.4,0.918,1.607,1.347866851
52,5,-7.3,2.296,5.622,1.208618609
52,6,-7.1,2.073,2.999,1.538805139
52,7,-7.1,3.958,6.905,1.449571013
52,8,-7,2.057,5.168,1.018007922
52,9,-7,4.208,7.086,1.251370287
53,1,-9,0,0,1.274602351
53,2,-8.7,2.286,5.425,1.359858414
53,3,-8.4,1.692,2.572,1.302695814
53,4,-8.3,1.923,2.486,1.110575431
53,5,-8.2,3.177,5.93,1.363094853
53,6,-8,4.142,6.707,1.239225947
53,7,-7.6,1.93,4.943,1.075061013
53,8,-7.5,3.344,5.882,1.18876225
53,9,-7.2,3.995,6.187,1.265867487
54,1,-8.3,0,0,1.220791952
54,2,-7.8,3.172,6.018,1.340044531
54,3,-7.6,3.693,5.462,1.073410184
54,4,-7.5,3.507,4.971,1.064032968
54,5,-7.4,2.157,3.034,1.076650101
54,6,-7.4,3.687,5.042,1.065073673
54,7,-7.3,2.004,4.001,0.809756433
54,8,-7.2,1.894,4.744,0.97559469
54,9,-7.2,4.099,6.198,1.355177174
55,1,-7.7,0,0,1.287269663
55,2,-7.7,4.192,7.634,1.530044533
55,3,-7.6,4.028,7.155,1.24397918
55,4,-7.4,3.025,6.213,1.243908961
55,5,-7.2,1.514,2.426,1.290394294
55,6,-7,2.945,6.087,1.224247663
55,7,-7,4.099,6.665,1.448370178
55,8,-6.9,3.087,3.969,1.392606918
55,9,-6.9,1.894,2.709,1.378364276
56,1,-8.6,0,0,1.628983781
56,2,-8.4,2.837,5.297,1.441592494
56,3,-7.4,3.252,5.755,1.501933041
56,4,-7.4,3.689,6.423,1.160510089
56,5,-7.3,1.807,5,1.577670281
56,6,-7.3,3.708,6.144,1.872063508
56,7,-7.3,4.851,7.823,1.098716431
56,8,-7.2,4.193,6.947,0.94671511
56,9,-7.1,4.959,7.792,1.194282215
57,1,-8,0,0,1.491155929
57,2,-7.9,4.364,7.336,1.294121532
57,3,-7.4,4.546,7.38,1.462661249
57,4,-7.3,3.928,6.318,1.267141319
57,5,-7.3,4.704,7.327,1.350527659
57,6,-7.3,4.406,6.988,1.26220221
57,7,-7.3,4.274,6.574,1.348449803
57,8,-7.2,3.036,5.764,1.26067217
57,9,-7.2,4.403,7.436,1.035394707
58,1,-9.2,0,0,1.492694623
58,2,-9.1,0.624,1.366,1.508345601
58,3,-9,2.058,5.464,1.55036146
58,4,-8.6,1.307,1.981,1.54173648
58,5,-8.5,1.83,2.571,1.545510924
58,6,-8.5,1.424,1.734,1.390165191
58,7,-8.4,3.294,6.052,1.203181021
58,8,-8.2,4.021,7.418,1.643212178
58,9,-8.2,3.98,6.59,1.221632442
59,1,-8.5,0,0,1.107704428
59,2,-7.9,3.412,5.985,0.963603644
59,3,-7.5,2.576,5.529,0.940935879
59,4,-7.5,4.345,6.524,1.010757126
59,5,-7.4,3.935,5.892,1.098726187
59,6,-7.2,3.424,5.964,1.216628276
59,7,-7,1.59,2.298,1.698948523
59,8,-7,4.016,6.333,0.964386779
59,9,-6.9,4.116,6.339,0.988149059
60,1,-8.3,0,0,1.362524749
60,2,-8,3.301,5.198,1.310217502
60,3,-7.8,4.244,7.347,1.286850975
60,4,-7.7,1.01,1.39,1.283084327
60,5,-7.5,4.118,7.083,1.212726992
60,6,-7.3,3.623,5.624,1.535771105
60,7,-7.3,4.049,6.507,1.173038947
60,8,-7.3,4.316,6.958,1.491524481
60,9,-7.2,4.603,6.441,0.803351726
61,1,-7.8,0,0,1.345429995
61,2,-7.7,4.181,7.574,1.441477813
61,3,-7.5,4.035,7.135,1.223591984
61,4,-7.4,2.956,6.141,1.255703986
61,5,-7.3,1.421,2.052,1.560209091
61,6,-7.1,4.118,6.674,1.313121727
61,7,-6.9,3.135,4.048,1.441045159
61,8,-6.9,2.219,5.339,1.078050874
61,9,-6.8,2.89,3.917,1.554223742
62,1,-7.9,0,0,1.307877423
62,2,-7.3,4.222,7.257,1.484568263
62,3,-7.2,4.422,7.494,1.356126271
62,4,-7.1,4.087,6.941,1.381660372
62,5,-7.1,4.405,6.943,1.543249295
62,6,-7,3.187,6.137,1.070391413
62,7,-6.8,4.57,6.787,1.397377155
62,8,-6.8,4.311,6.59,1.407651029
62,9,-6.7,2.541,5.407,1.010704192
63,1,-7.8,0,0,1.113662291
63,2,-7.8,3.491,5.462,1.397899437
63,3,-7.7,3.776,6.253,1.241554388
63,4,-7.4,1.973,3.525,1.274309764
63,5,-7.2,2.199,3.046,1.163205376
63,6,-7.2,3.999,5.081,1.30610171
63,7,-7.1,4.303,5.521,1.325160493
63,8,-7.1,4.122,5.862,1.478307396
63,9,-7.1,3.563,4.945,1.314562586
64,1,-9.1,0,0,1.397722473
64,2,-8.9,2.272,5.279,1.662186082
64,3,-8.5,1.456,2.162,1.620615926
64,4,-8.3,3.244,5.971,1.261853954
64,5,-8.3,1.962,2.634,1.237664554
64,6,-8.2,2.495,5.069,1.623071588
64,7,-8.1,4.173,6.79,1.186688903
64,8,-7.7,3.363,5.836,1.205162874
64,9,-7.3,2.666,6.002,1.594577311
65,1,-8.3,0,0,0.952683402
65,2,-7.8,3.089,5.9,1.275827637
65,3,-7.6,3.764,5.53,1.314981399
65,4,-7.5,4.05,5.97,1.313921763
65,5,-7.5,3.577,5.05,1.32248114
65,6,-7.3,3.584,4.881,1.302697096
65,7,-7.3,4.251,5.768,1.199508702
65,8,-7.2,1.156,1.884,1.101987814
65,9,-7.2,2.079,2.671,0.948782783
66,1,-7.9,0,0,1.349920015
66,2,-7.6,4.075,7.171,1.244519567
66,3,-7.6,3.132,4.513,1.583065128
66,4,-7.4,3.053,6.176,1.253702782
66,5,-7.3,3.961,6.276,1.347714448
66,6,-7.2,3.672,5.732,1.30509128
66,7,-7.2,4.24,6.624,1.309620806
66,8,-7,4.109,6.703,1.599962239
66,9,-7,4.297,7.347,1.455838006
67,1,-7.8,0,0,1.51885714
67,2,-7.8,3.628,5.449,1.466759506
67,3,-7.7,1.859,3.679,1.184464178
67,4,-7.5,3.675,5.047,1.659018759
67,5,-7.5,3.328,5.874,1.37042333
67,6,-7.4,3.979,5.433,1.629704748
67,7,-7.4,4.28,6.771,1.65110482
67,8,-7.4,4.376,6.839,1.032295425
67,9,-7.3,4.128,6.058,1.632218179
68,1,-8.7,0,0,1.175198816
68,2,-8.3,2.596,4.996,1.408685289
68,3,-8.3,1.469,1.999,1.468399418
68,4,-8,2.276,4.975,1.489587226
68,5,-7.6,1.943,4.617,1.587149598
68,6,-7.3,3.744,6.067,0.672742963
68,7,-7.2,4.572,7.427,1.349801903
68,8,-7.2,4.407,7.29,1.031864703
68,9,-7.2,3.832,6.634,1.30084895
69,1,-9.5,0,0,1.364227888
69,2,-9.3,2.367,5.43,1.234973544
69,3,-9,0.813,1.464,1.377474485
69,4,-8.9,2.368,5.152,1.264205583
69,5,-8.8,1.574,5.464,1.49283308
69,6,-8.7,3.602,7.026,1.292649039
69,7,-8.5,4.56,7.326,1.263691648
69,8,-8.3,3.201,6.368,1.45499656
