NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
57,2,-7.5,1.083,1.278,1.081104816
57,3,-7.2,2.852,4.878,1.221062049
57,4,-7.1,2.485,4.668,1.224158385
57,5,-7.1,4.056,6.73,1.283704234
57,6,-7.1,2.375,5.165,1.34912163
57,7,-7,4.309,6.796,1.285838161
57,8,-6.8,1.9,2.759,1.363854757
57,9,-6.7,3.264,5.743,1.187668705
58,1,-8.8,0,0,1.175119714
58,2,-8.8,1.613,2.064,0.827011292
58,3,-8.7,3.203,5.723,1.727260648
58,4,-8.6,3.688,6.403,1.327303619
58,5,-8.5,2.413,3.377,1.147643015
58,6,-8.1,3.547,6.096,1.4015584
58,7,-8.1,1.947,2.47,1.701678837
58,8,-8.1,4.036,7.297,1.358119572
58,9,-8.1,2.581,6.271,1.711299406
59,1,-7.7,0,0,0.920752213
59,2,-7.7,3.588,6.083,1.268253361
59,3,-7.6,1.217,1.417,0.741861193
59,4,-7.3,4.463,6.812,1.423932347
59,5,-7.2,3.82,5.951,1.142830702
59,6,-6.9,4.033,6.15,0.999239424
59,7,-6.9,2.835,5.428,1.10264978
59,8,-6.7,4.653,6.363,0.963959433
59,9,-6.6,4.473,7.235,1.375916848
60,1,-7.4,0,0,1.12030912
60,2,-7.3,3.174,4.797,0.821933616
60,3,-7.2,3.506,6.523,1.0773088
60,4,-7.1,3.907,6.057,1.169240243
60,5,-7.1,3.598,6.497,1.195405301
60,6,-7,3.492,5.922,0.915374763
60,7,-6.9,3.489,5.595,0.895965429
60,8,-6.6,2.507,3.292,1.116842955
60,9,-6.5,4.058,6.476,1.246459086
61,1,-7.3,0,0,1.466376273
61,2,-7.3,2.265,3.813,1.287694798
61,3,-7.2,2.512,3.978,1.41453345
61,4,-7.2,3.529,6.372,1.183241001
61,5,-7,3.128,4.932,1.413006766
61,6,-7,3.714,6.155,1.306994841
61,7,-6.9,4.018,7.336,1.331855038
61,8,-6.9,2.267,4.408,1.417874139
61,9,-6.9,4.314,7.164,1.432429133
62,1,-7.2,0,0,1.489077298
62,2,-7,4.379,6.843,1.253076962
62,3,-6.9,4.195,6.785,1.209664085
62,4,-6.9,4.286,7.298,1.023415282
62,5,-6.9,3.318,6.036,1.362135457
62,6,-6.8,4.071,6.95,0.886745885
62,7,-6.8,3.173,6.255,1.337231602
62,8,-6.7,3.683,5.835,1.563730759
62,9,-6.5,1.623,2.212,1.705984564
63,1,-7.6,0,0,1.106085402
63,2,-7.5,2.359,5.113,1.326758328
63,3,-7.2,2.843,4.881,1.208330999
63,4,-7.1,4.024,6.695,1.317812655
63,5,-7.1,1.823,3.997,1.315721001
63,6,-7.1,2.424,4.414,0.982085559
63,7,-7,2.143,5.165,1.17676268
63,8,-6.9,1.749,2.508,1.134794963
63,9,-6.9,4.38,7.005,1.293274229
64,1,-8.8,0,0,1.077113759
64,2,-8.7,3.926,6.388,1.29797319
64,3,-8.4,2.984,5.552,1.719360864
64,4,-8.4,1.312,2.256,1.080363766
64,5,-8.3,1.864,2.295,1.062410438
64,6,-8.3,3.921,7.426,1.422023167
64,7,-8,1.781,2.408,1.709933269
64,8,-8,2.033,4.696,1.566183644
64,9,-8,2.091,5.318,1.535143972
65,1,-8,0,0,1.384477792
65,2,-7.7,3.063,5.888,0.821004428
65,3,-7.7,2.043,2.669,1.564484838
65,4,-7.6,3.318,4.636,0.64184192
65,5,-7.6,2.938,3.807,0.740334065
65,6,-7.5,2.095,4.722,1.449920483
65,7,-7.4,4.566,6.345,0.986669333
65,8,-7.4,4.042,5.742,0.870197655
65,9,-7.1,2.58,4.864,0.691020726
66,1,-7.2,0,0,1.227205486
66,2,-7.1,0.86,1.105,1.083808028
66,3,-7.1,2.318,4.02,1.433375826
66,4,-6.9,1.875,4.959,1.067402444
66,5,-6.9,3.429,6.379,1.45164639
66,6,-6.8,2.376,4.984,1.240263222
66,7,-6.8,2.015,3.681,1.161724438
66,8,-6.7,2.831,4.846,1.1891474
66,9,-6.7,3.382,5.275,1.375853457
67,1,-7.6,0,0,1.253504878
67,2,-7.4,3.249,5.42,1.601701439
67,3,-7.4,2.448,5.167,1.016853621
67,4,-7.3,3.442,5.319,1.625450594
67,5,-7.2,3.883,5.241,1.271544455
67,6,-7,3.491,5.802,1.355290013
67,7,-7,2.315,3.58,1.288157508
67,8,-7,4.576,7.335,1.370675228
67,9,-6.9,1.928,2.886,1.265540968
68,1,-8,0,0,0.88897885
68,2,-8,2.143,3.544,1.492625656
68,3,-7.9,1.136,1.985,1.150790713
68,4,-7.8,3.943,6.018,1.197142962
68,5,-7.7,2.469,5.569,1.202498569
68,6,-7.6,1.695,4.238,1.459315662
68,7,-7.4,3.804,5.822,0.890316115
68,8,-7.4,3.93,6.936,1.291336262
68,9,-7.4,3.266,4.607,1.141333683
69,1,-8.7,0,0,1.141084228
69,2,-8.6,3.889,6.282,1.069300331
69,3,-8.5,2.5,5.883,1.826362482
69,4,-8.1,4.115,7.139,1.236844464
69,5,-8.1,4.275,7.747,1.644229148
69,6,-7.9,4.102,6.986,1.895977645
69,7,-7.8,2.694,5.235,1.339099359
