NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
36,9,-6.7,3.871,5.975,1.407592759
37,1,-8,0,0,1.120421899
37,2,-7.6,2.366,4.858,1.245255097
37,3,-7.3,3.914,6.819,1.110907086
37,4,-7.3,4.177,6.724,1.47829323
37,5,-7.1,3.939,5.924,1.502806623
37,6,-7,3.879,6.824,0.871873449
37,7,-7,2.267,5.507,1.217311956
37,8,-6.9,4.178,6.646,1.400783732
37,9,-6.8,2.914,5.939,1.137510971
38,1,-8,0,0,1.145554273
38,2,-7.7,3.667,5.693,1.383093892
38,3,-7.6,3.952,7.14,1.241152958
38,4,-7.5,4.158,6.835,1.578034407
38,5,-7.4,3.948,6.998,1.407717101
38,6,-7.4,2.918,5.283,1.424139354
38,7,-7.2,3.828,6.907,1.037370534
38,8,-7.1,1.991,2.522,1.493749171
38,9,-6.9,2.655,4.714,1.402445407
39,1,-8.2,0,0,1.209763429
39,2,-7.7,3.507,5.582,1.436763649
39,3,-7.6,4.222,6.848,1.519339849
39,4,-7.4,4.317,7.339,1.113613201
39,5,-7.2,2.89,5.874,0.857904191
39,6,-6.9,4.398,6.679,1.02592968
39,7,-6.8,3.317,6.272,1.419586606
39,8,-6.8,1.533,2.149,1.520261898
39,9,-6.6,5.032,7.506,1.594633095
40,1,-9.2,0,0,1.194496637
40,2,-8.2,2.571,5.201,1.244491954
40,3,-8,3.429,6.086,0.872362764
40,4,-7.5,3.671,5.887,1.144338508
40,5,-7.3,4.205,6.369,1.128562532
40,6,-7.2,3.972,5.27,1.003898422
40,7,-7.1,4.037,6.387,1.330064701
40,8,-7.1,2.703,5.382,0.904597128
40,9,-7,2.614,5.477,0.993123408
41,1,-8.5,0,0,1.191576845
41,2,-7.8,4.236,7.479,1.230011485
41,3,-7.5,1.522,2.383,1.026688982
41,4,-7.5,2.195,3.058,1.333289465
41,5,-7.5,2.779,4.508,1.373882288
41,6,-7.4,3.698,5.788,1.378808303
41,7,-7.1,4.253,7.527,0.985917928
41,8,-7.1,3.941,7.751,1.273526262
41,9,-6.9,3.342,5.759,1.473626305
42,1,-8.3,0,0,1.647624554
42,2,-8.2,2.167,5.083,1.570074315
42,3,-7.9,3.534,5.239,1.030411572
42,4,-7.9,3.649,5.198,0.908691233
42,5,-7.9,1.729,5.09,1.39766812
42,6,-7.8,3.93,6.031,1.028114323
42,7,-7.7,3.629,5.943,1.137933521
42,8,-7.5,3.685,6.54,1.209000016
42,9,-7.4,3.986,6.518,1.395287226
43,1,-8.3,0,0,0.778933246
43,2,-8.2,3.626,5.74,1.337592509
43,3,-8.1,4.056,6.562,1.246955568
43,4,-8,3.822,6.752,1.252760532
43,5,-8,2.326,4.979,1.433698401
43,6,-7.5,2.161,5.195,1.147817187
43,7,-7.5,2.665,4.88,1.173079317
43,8,-7.3,2.725,5.705,1.47831909
43,9,-7.3,4.497,7.082,1.322923147
44,1,-8,0,0,1.084820052
44,2,-7.4,4.157,6.767,1.662109011
44,3,-7.4,4.059,7.236,1.11727013
44,4,-7.2,3.116,5.352,1.342370073
44,5,-6.9,3.799,6.831,1.070303224
44,6,-6.8,4.417,6.915,1.665478538
44,7,-6.7,2.756,3.699,1.665646532
44,8,-6.6,4.07,6.733,0.919851318
44,9,-6.6,1.44,2.232,1.697430771
45,1,-7.8,0,0,1.148207421
45,2,-7.6,0.593,1.331,1.374271438
45,3,-7.3,3.685,5.655,1.347610292
45,4,-7.2,2.998,5.036,1.302820694
45,5,-7.1,4.152,7.055,1.21196701
45,6,-7.1,4.333,6.845,1.465151475
45,7,-7,4.214,7.106,0.977953074
45,8,-6.8,2.813,5.507,0.948407109
45,9,-6.6,4.042,6.843,0.926787267
46,1,-8.1,0,0,1.299967155
46,2,-8,1.509,2.037,1.125886132
46,3,-7.6,3.708,6.42,1.346417195
46,4,-7.3,3.356,5.583,1.224936439
46,5,-7.2,3.944,7.049,0.993877815
46,6,-7.2,2.143,2.868,1.073739292
46,7,-7,1.822,2.612,1.025592237
46,8,-6.9,4.344,7.398,1.295303322
46,9,-6.7,4.524,7.455,1.355542504
47,1,-9.2,0,0,1.19310341
47,2,-8.2,2.585,5.173,1.246682188
47,3,-8.1,2.557,5.417,1.277513157
47,4,-7.5,3.992,5.291,1.012662596
47,5,-7.5,3.664,5.86,1.161406853
47,6,-7.3,4.094,6.207,1.128047873
47,7,-6.8,2.11,2.827,1.252944989
47,8,-6.8,4.016,5.425,1.056975512
47,9,-6.8,1.201,2.062,1.610129655
48,1,-8.5,0,0,1.207655976
48,2,-8.1,4.164,7.348,1.104962773
48,3,-7.8,1.512,1.972,1.053574468
48,4,-7.1,2.96,5.35,1.393539448
48,5,-7.1,2.418,3.23,1.226256371
48,6,-7,2.518,5.456,1.41029434
48,7,-6.9,3.374,5.64,1.124084626
48,8,-6.8,4.423,7.589,1.317566493
48,9,-6.7,4.063,7.338,1.267957494
49,1,-8.8,0,0,1.091217907
