NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
22,6,-7.2,4.239,6.536,1.521571015
22,7,-6.8,4.954,7.472,1.36947476
22,8,-6.6,3.74,5.852,1.250740997
22,9,-6.5,4.208,6.586,1.094739731
23,1,-7.3,0,0,1.555912146
23,2,-7.2,2.123,4.727,1.219486243
23,3,-6.7,1.823,3.259,1.257790065
23,4,-6.5,2.518,6.019,1.113199592
23,5,-6.3,2.902,5.339,1.081576809
23,6,-6.3,2.626,5.433,1.017248357
23,7,-6.2,2.254,5.414,1.08046965
23,8,-6.1,2.477,4.252,1.239524504
23,9,-6.1,2.049,3.086,1.438685057
24,1,-7.6,0,0,1.064104527
24,2,-7.4,3.434,5.751,1.018996172
24,3,-7.3,3.426,5.869,1.261737297
24,4,-7.2,1.225,1.941,1.015361476
24,5,-7,3.997,6.36,1.041825173
24,6,-6.9,3.398,6.199,1.44498409
24,7,-6.8,2.084,4.409,1.42215687
24,8,-6.8,2.667,4.916,1.313280476
24,9,-6.7,3.859,6.974,0.739835662
25,1,-8.3,0,0,1.060887359
25,2,-7.9,1.59,2.022,1.993467726
25,3,-7.8,3.387,5.189,1.628656007
25,4,-7.6,2.05,4.986,1.094841241
25,5,-7.4,1.83,2.224,1.342498809
25,6,-7.4,1.764,4.817,1.984813847
25,7,-7.2,2.193,4.964,1.865409171
25,8,-7.2,3.836,4.683,2.089271847
25,9,-7,3.223,5.822,1.395371654
26,1,-7.7,0,0,1.065635269
26,2,-7.4,3.418,5.763,1.013430885
26,3,-7.3,3.406,5.828,1.28142417
26,4,-7,3.992,6.357,1.038894388
26,5,-7,3.456,6.332,1.241725266
26,6,-6.8,3.833,5.973,1.015844333
26,7,-6.8,2.049,4.382,1.207713269
26,8,-6.8,2.65,4.961,1.31498993
26,9,-6.7,3.84,6.955,0.737527588
27,1,-7.3,0,0,1.563238415
27,2,-7.2,2.125,4.762,1.227820343
27,3,-6.6,2.353,5.409,1.32118649
27,4,-6.6,2.312,4.838,1.234407159
27,5,-6.4,2.125,3.174,1.472185782
27,6,-6.4,2.255,4.319,1.441223121
27,7,-6.4,2.015,2.794,1.704617578
27,8,-6.3,2.535,5.428,1.066467161
27,9,-6.2,2.842,5.343,1.060055168
28,1,-8.1,0,0,0.953786015
28,2,-7.9,3.767,5.793,1.463193557
28,3,-7.5,1.858,4.86,0.895134846
28,4,-7.3,1.902,4.843,0.743514824
28,5,-7.1,2.359,5.174,1.167067821
28,6,-7,3.556,5.53,0.727474948
28,7,-6.8,5.011,7.527,1.407327686
28,8,-6.7,3.651,4.886,1.593528963
28,9,-6.5,4.177,6.718,0.988826442
29,1,-7.3,0,0,1.557374611
