43	6	-8.7	1.497	2.21
43	7	-8.4	3.653	7.352
43	8	-8.4	2.041	2.613
43	9	-8.4	3.375	6.47
44	1	-9.2	0	0
44	2	-8.9	1.585	2.29
44	3	-8.9	2.099	5.64
44	4	-8.9	2.92	7.65
44	5	-8.8	2.562	7.242
44	6	-8.7	1.863	5.434
44	7	-8.6	3.087	7.966
44	8	-8.5	2.898	7.195
44	9	-8.5	2.153	7.385
45	1	-9.7	0	0
45	2	-9.6	1.782	1.877
45	3	-9.6	2.551	7.089
45	4	-9.5	2.794	7.882
45	5	-9.3	3.76	7.868
45	6	-9.1	2.889	8.043
45	7	-9.1	3.743	7.824
45	8	-9	1.523	2.13
45	9	-9	3	7.204
46	1	-9.7	0	0
46	2	-9.6	1.769	1.864
46	3	-9.6	2.545	7.091
46	4	-9.5	2.796	7.876
46	5	-9.5	2.891	8.677
46	6	-9.4	1.103	1.731
46	7	-9.2	1.982	5.471
46	8	-9.2	3.306	6.278
46	9	-9.1	1.977	2.672
47	1	-9.3	0	0
47	2	-9	1.457	1.985
47	3	-8.9	2.083	5.838
47	4	-8.9	2.474	7.436
47	5	-8.9	3.002	7.95
47	6	-8.9	2.556	3.359
47	7	-8.7	3.2	8.338
47	8	-8.7	2.626	7.449
47	9	-8.6	3.381	7.669
48	1	-9.3	0	0
48	2	-9.1	2.514	7.307
48	3	-9	1.501	2.027
48	4	-8.9	3.318	7.512
48	5	-8.9	2.326	7.305
48	6	-8.9	2.99	7.95
48	7	-8.8	1.59	1.724
48	8	-8.8	2.661	7.47
48	9	-8.7	1.492	2.058
49	1	-8.8	0	0
49	2	-8.7	2.616	7.331
49	3	-8.7	3.13	4.891
49	4	-8.7	2.396	3.218
49	5	-8.6	3.153	7.369
49	6	-8.5	2.08	2.624
49	7	-8.4	3.097	6.89
49	8	-8.4	3.037	7.51
49	9	-8.4	1.744	2.134
50	1	-8.8	0	0
50	2	-8.8	2.599	7.313
50	3	-8.7	3.014	7.618
50	4	-8.7	3.721	7.628
50	5	-8.7	2.889	8.023
50	6	-8.6	2.304	5.633
50	7	-8.5	3.217	8.157
50	8	-8.5	3.086	7.17
50	9	-8.4	2.331	6.936
51	1	-8.9	0	0
51	2	-8.9	2.083	5.576
51	3	-8.8	2.846	7.501
51	4	-8.7	2.206	5.544
51	5	-8.7	1.439	5.205
51	6	-8.5	3.727	6.63
51	7	-8.4	3.867	7.519
51	8	-8.3	2.917	6.328
51	9	-8.3	2.147	7.124
52	1	-8.8	0	0
52	2	-8.8	2.615	7.337
52	3	-8.7	3.728	7.655
52	4	-8.7	3.272	8.548
52	5	-8.7	3.016	7.641
52	6	-8.6	2.306	5.632
52	7	-8.6	3.226	8.158
52	8	-8.5	3.083	7.19
52	9	-8.5	2.498	7.115
53	1	-8.8	0	0
53	2	-8.8	2.578	7.32
53	3	-8.7	3.015	7.625
53	4	-8.7	2.302	5.64
53	5	-8.6	2.903	8.045
53	6	-8.5	1.592	2.133
53	7	-8.5	3.652	7.621
53	8	-8.5	2.131	5.441
53	9	-8.4	2.356	6.96
54	1	-8	0	0
54	2	-8	1.569	2.123
54	3	-7.7	3.73	6.795
54	4	-7.6	2.268	2.758
54	5	-7.6	1.378	4.273
54	6	-7.5	2.754	6.584
54	7	-7.4	3.06	6.384
54	8	-7.4	3.002	6.73
54	9	-7.2	1.997	2.402
55	1	-9.6	0	0
55	2	-9.3	3.272	7.613
55	3	-9.3	1.581	2.102
55	4	-9.3	2.866	7.678
55	5	-9.2	1.532	1.836
55	6	-9.2	2.068	5.655
55	7	-9.1	3.031	8.562
55	8	-9.1	2.55	7.332
55	9	-9	2.263	5.124
56	1	-9.6	0	0
56	2	-9.4	1.586	2.11
56	3	-9.3	2.859	7.627
56	4	-9.3	3.254	7.642
56	5	-9.2	2.721	7.044
56	6	-9.2	2.096	5.676
56	7	-9.1	3.093	7.986
56	8	-9	2.841	7.895
56	9	-9	1.905	5.478
57	1	-8.4	0	0
57	2	-8.3	2.409	3.337
57	3	-8.3	3.258	4.842
57	4	-8.2	2.042	2.403
57	5	-8.1	3.654	7.325
57	6	-8.1	2.952	8.336
57	7	-8.1	4.096	5.555
57	8	-8	4.399	7.358
57	9	-8	3.725	7.413
58	1	-8.5	0	0
58	2	-8.3	2.393	3.327
58	3	-8.2	2.047	2.415
58	4	-8.2	3.771	5.27
58	5	-8.2	4.135	5.267
58	6	-8.1	2.944	8.347
58	7	-8.1	3.723	7.362
58	8	-8	3.311	8.351
58	9	-8	3.775	4.65
59	1	-8.5	0	0
59	2	-8.5	2.253	2.694
59	3	-8.4	3.81	7.397
59	4	-8.4	3.009	4.648
59	5	-8.4	3.75	4.555
59	6	-8.4	3.277	8.537
59	7	-8.3	4.531	5.589
59	8	-8.2	4.219	7.191
59	9	-8.2	3.148	8.401
60	1	-8.5	0	0
60	2	-8.4	2.396	3.309
60	3	-8.3	4.263	5.347
